"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
17.00,10.51,23.41,11.00,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.55,17.26,18.05,10.93,8.30,4.80,10.70,0.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.31,7.70,24.20,3.40,0.00,19.51,19.45,140.92,18.34,36.94,0.60,20.00,20.00,20.00,2.40,10.90,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,6.10,9.20,18.00,1.02,1.64,0.37,1.23,10.50,15.30,1.00,0.60,107.21,30.20,18.10,0.10,2.00,74.78
18.00,12.51,23.40,13.12,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.38,17.88,18.05,10.93,8.30,4.50,12.20,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.64,7.60,26.80,3.40,0.00,19.51,19.45,142.58,18.34,37.67,0.60,20.00,20.00,20.00,2.40,10.90,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,6.80,10.10,18.00,1.02,1.64,0.51,1.23,11.70,16.40,1.20,0.90,109.28,33.30,19.10,0.20,2.00,76.23
19.00,14.09,23.40,14.75,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.39,18.19,18.05,10.93,8.30,4.10,16.00,7.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.83,8.40,30.50,3.40,0.00,19.51,19.45,143.65,18.34,38.10,0.60,20.00,20.00,20.00,2.40,9.90,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,7.60,11.10,18.00,1.02,1.64,0.63,1.23,13.40,18.00,1.60,1.00,110.52,37.20,23.80,0.20,2.00,76.73
20.00,15.39,23.27,15.93,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.78,18.24,18.05,10.93,8.30,4.00,20.50,7.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.91,9.30,34.40,3.40,0.00,19.51,19.45,144.29,18.34,38.48,0.60,20.00,20.00,20.00,2.40,10.90,12.88,20.49,0.00,8.00,10.50,7.90,17.56,2.40,8.50,12.00,18.00,1.02,1.64,0.70,1.23,14.90,19.20,1.90,1.20,111.35,42.40,30.60,0.30,2.00,77.20
21.00,16.50,23.23,16.85,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.88,18.36,18.05,10.93,8.30,4.60,27.10,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.95,10.60,38.90,3.40,0.00,19.51,19.45,144.48,18.34,38.73,0.60,20.00,20.00,20.00,2.40,17.70,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.50,12.70,18.00,1.02,1.64,0.77,1.23,15.80,19.20,2.30,1.30,111.90,51.50,43.80,0.30,2.00,78.29
22.00,17.42,23.29,17.47,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.53,18.49,18.05,10.93,8.30,5.50,33.50,6.70,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.95,11.80,43.20,3.40,0.00,19.51,19.45,144.23,18.34,38.93,0.60,20.00,20.00,20.00,2.40,25.10,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,10.20,13.30,18.00,1.02,1.64,0.78,1.23,16.80,19.30,2.60,1.50,112.16,60.30,57.20,0.30,2.00,79.15
23.00,17.98,23.40,17.73,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.71,18.63,18.05,10.93,8.30,7.00,39.00,6.80,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.89,12.90,47.20,3.40,0.00,19.51,19.45,135.58,18.34,39.09,0.60,20.00,20.00,20.00,2.40,34.50,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.90,13.10,18.00,1.02,1.64,0.78,1.23,18.40,19.80,2.80,1.60,112.29,68.60,71.00,0.40,2.00,79.27
24.00,18.18,23.33,17.76,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.52,18.63,18.05,10.93,8.30,8.40,43.80,6.80,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.33,14.10,50.90,3.40,0.00,19.51,19.45,121.10,18.34,38.67,0.60,20.00,20.00,20.00,2.40,48.30,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.70,13.00,18.00,1.02,1.64,0.79,1.23,20.10,20.40,3.20,1.90,112.26,75.70,84.90,0.40,2.00,78.75
25.00,18.08,23.27,17.53,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.24,18.64,18.05,10.93,8.30,9.50,46.80,6.80,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,14.98,15.40,54.00,3.40,0.00,19.51,19.45,119.38,18.34,36.86,0.60,20.00,20.00,20.00,2.40,75.10,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.80,13.00,18.00,1.02,1.64,0.78,1.23,22.10,21.50,3.80,2.40,112.16,79.50,99.10,0.40,2.00,78.58
26.00,17.67,23.03,16.49,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,17.95,18.68,18.05,10.93,8.30,10.40,49.10,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.92,16.30,56.60,3.40,0.00,19.51,19.45,130.06,18.34,34.40,0.60,20.00,20.00,20.00,2.40,96.60,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.70,12.70,18.00,1.02,1.64,0.78,1.23,25.10,24.30,4.50,3.00,110.98,82.00,111.80,0.40,2.00,78.84
27.00,16.80,23.15,15.25,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.53,18.59,18.05,10.93,8.30,10.70,49.20,7.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.95,16.10,57.50,3.40,0.00,19.51,19.45,142.09,18.34,29.87,0.60,20.00,20.00,20.00,2.40,102.00,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.50,11.90,18.00,1.02,1.64,0.78,1.23,30.90,32.00,5.10,3.60,109.00,80.30,120.30,0.30,2.00,78.96
28.00,15.43,23.26,13.64,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.38,18.53,18.05,10.93,8.30,11.10,48.80,7.00,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.89,15.80,57.80,3.40,0.00,19.51,19.45,142.60,18.34,24.92,0.60,20.00,20.00,20.00,2.40,107.20,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,9.10,11.10,18.00,1.02,1.64,0.66,1.23,35.40,38.50,5.60,4.10,105.38,78.50,127.50,0.20,2.00,77.90
29.00,13.63,23.09,11.94,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.63,18.50,18.05,10.93,8.30,11.40,46.80,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.81,15.30,56.20,3.40,0.00,19.51,19.45,135.67,18.34,20.29,0.60,20.00,20.00,20.00,2.40,111.90,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,8.30,10.30,18.00,1.02,1.64,0.64,1.23,36.10,41.30,5.40,4.00,97.10,76.20,130.80,0.20,2.00,75.65
30.00,11.51,23.23,9.95,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,19.26,18.17,18.05,10.93,8.30,11.70,44.90,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,15.44,15.00,55.40,3.40,0.00,19.51,19.45,122.32,18.34,16.86,0.60,20.00,20.00,20.00,2.40,116.10,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,7.70,9.50,18.00,1.02,1.64,0.60,1.23,37.10,44.10,5.20,4.00,85.75,75.20,133.50,0.10,2.00,71.67
31.00,8.83,23.09,7.77,14.00,4.20,6.90,12.39,12.00,1.80,0.00,3.40,0.00,18.51,17.54,18.05,10.93,8.30,11.60,43.40,6.90,11.02,6.00,5.00,19.32,19.32,19.51,19.51,1.45,14.38,15.20,56.60,3.40,0.00,19.51,19.45,111.63,18.34,14.35,0.60,20.00,20.00,20.00,2.40,119.00,12.88,20.49,19.51,8.00,10.50,7.90,17.56,2.40,7.20,8.30,18.00,1.02,1.64,0.50,1.23,39.00,46.80,5.00,4.10,77.64,78.10,134.20,0.10,2.00,65.59
