"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
21.00,14.67,22.14,14.53,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,11.30,15.73,3.10,2.50,7.40,19.43,45.80,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.49,13.30,32.50,0.00,27.00,3.50,11.75,123.00,14.49,30.00,0.60,3.50,3.00,3.00,2.30,49.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,11.10,12.83,0.00,1.20,0.67,56.80,57.00,15.11,8.63,88.56,41.93,62.00,0.20,0.92,69.20,221.23,5.00,170.62,12.14,0.37,49.08,82.80,12.57
22.00,15.92,20.59,15.53,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,12.00,16.08,3.10,2.50,7.40,19.25,48.80,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.60,13.20,34.50,0.00,26.80,3.50,11.75,123.00,14.49,30.00,0.60,3.50,3.00,3.00,2.30,51.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,11.10,13.07,0.00,1.22,0.67,59.90,60.60,15.11,8.63,88.56,42.40,66.00,0.10,0.92,68.90,222.32,5.00,173.60,12.14,0.39,48.80,85.80,12.56
23.00,16.14,21.61,15.86,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,12.84,16.11,3.10,2.50,7.40,20.73,50.80,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.60,13.10,35.90,0.00,26.60,3.50,11.73,123.00,14.49,29.99,0.60,3.50,3.00,3.00,2.30,54.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,14.12,13.75,0.00,1.21,0.67,62.50,63.70,13.62,7.23,88.56,42.05,70.00,0.10,0.91,68.90,223.25,5.00,173.76,12.14,0.40,48.41,86.15,12.57
24.00,16.41,21.66,16.10,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,13.23,16.19,3.10,2.50,7.40,21.29,52.80,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.67,13.00,37.30,0.00,26.40,3.50,11.72,124.00,14.49,29.67,0.60,3.50,3.00,3.00,2.30,56.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,14.12,13.87,0.00,1.23,0.66,65.10,66.70,13.62,7.23,89.28,41.47,74.00,0.10,0.91,69.10,224.76,5.00,173.27,12.14,0.41,48.04,85.78,12.68
25.00,16.33,21.38,15.85,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,12.90,16.34,3.10,5.10,7.40,24.74,54.70,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.76,13.00,38.20,0.00,26.20,3.50,11.71,124.00,14.49,29.61,0.60,3.50,3.00,3.00,2.30,60.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,14.12,14.17,0.00,1.22,0.66,67.60,69.90,13.62,7.23,89.28,43.83,79.00,0.10,0.90,69.20,226.55,5.00,173.07,12.14,0.41,47.95,85.45,12.78
26.00,15.64,21.57,15.25,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,12.78,16.46,3.10,5.10,7.40,24.77,56.60,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.81,12.90,39.00,0.00,26.00,3.50,11.70,124.00,14.49,29.71,0.60,3.50,3.00,3.00,2.30,65.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,11.10,13.75,0.00,1.22,0.65,70.00,73.20,13.62,7.23,89.28,44.27,86.00,0.10,0.89,69.30,229.15,5.00,173.21,12.14,0.42,48.13,85.43,12.85
27.00,15.19,21.72,14.60,13.53,4.50,7.50,3.30,6.90,1.50,0.00,3.50,14.49,12.79,16.55,3.10,5.10,7.40,25.95,58.20,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.79,13.10,40.10,0.00,25.80,3.50,11.70,124.00,14.49,29.65,0.60,3.50,3.00,3.00,2.30,72.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,11.10,13.53,0.00,1.22,0.65,71.60,76.60,11.99,5.93,89.28,45.37,92.00,0.00,0.88,69.10,229.94,5.00,173.54,12.14,0.42,48.30,85.90,12.90
28.00,13.54,21.29,13.21,13.53,4.50,7.50,3.30,6.90,1.50,0.00,3.50,14.49,12.89,16.55,3.10,5.10,7.40,26.09,59.90,3.80,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.79,13.30,41.10,0.00,25.80,3.50,11.17,124.00,14.49,29.76,0.60,3.50,3.00,3.00,2.30,79.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,11.10,13.67,0.00,1.03,0.65,73.30,79.90,11.99,5.93,89.28,47.24,98.00,0.00,0.88,69.10,228.46,5.00,174.05,12.14,0.42,48.39,86.45,13.00
29.00,12.83,21.24,12.04,13.53,4.50,7.50,3.30,6.90,1.50,0.00,3.50,14.49,11.68,16.52,3.10,5.10,7.40,26.14,61.60,3.10,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.74,13.60,41.30,0.00,26.10,3.50,11.30,124.00,14.49,29.73,0.60,3.50,3.00,3.00,2.30,84.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,8.00,12.65,0.00,1.00,0.65,75.30,81.00,11.99,5.93,89.28,45.65,104.00,0.00,0.87,69.30,228.10,5.00,173.70,12.14,0.42,48.28,86.24,13.39
30.00,10.37,21.30,10.13,13.53,4.50,7.50,3.30,6.90,1.50,0.00,3.50,14.49,10.86,16.41,3.10,5.10,7.40,26.20,63.40,3.80,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,12.60,13.80,41.40,0.00,26.70,3.50,11.41,125.00,14.49,29.27,0.60,3.50,3.00,3.00,2.30,88.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,8.00,12.51,0.00,0.93,0.65,77.30,82.00,11.99,5.93,90.00,43.66,108.00,0.00,0.86,68.50,225.31,5.00,168.09,12.14,0.42,47.79,81.84,13.13
