"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
26.00,2.00,23.52,1.89,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,1.57,2.26,18.05,0.00,8.00,17.25,67.50,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,1.44,26.60,82.90,3.10,0.00,19.51,19.32,11.86,9.20,1.64,0.00,20.00,19.51,19.51,2.40,115.70,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.00,8.80,18.00,0.00,0.00,0.28,1.23,85.00,91.92,12.11,10.61,9.98,118.50,111.60,0.10,2.00,5.51,0.00
27.00,1.70,23.57,0.59,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.13,18.05,0.00,8.00,16.02,64.53,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.08,26.50,81.70,3.10,0.00,19.51,19.32,1.75,9.20,0.21,0.00,20.00,19.51,19.51,2.40,115.30,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.10,9.40,18.00,0.00,0.00,0.10,1.23,85.00,91.95,11.48,9.89,1.70,119.20,109.70,0.00,2.00,0.58,0.00
28.00,1.53,23.52,0.14,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,14.69,61.29,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.20,80.20,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,113.60,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.10,10.00,18.00,0.00,0.00,0.05,1.23,85.79,91.98,10.72,8.97,0.00,119.70,104.90,0.00,2.00,0.00,0.00
29.00,0.00,23.62,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,13.75,59.29,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.00,78.70,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,111.40,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.10,10.40,18.00,0.00,0.00,0.00,1.23,84.67,91.74,10.09,8.29,0.00,120.20,99.20,0.00,2.00,0.00,0.00
30.00,0.00,23.57,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,12.93,57.70,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.10,78.50,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,120.25,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.00,10.10,18.00,0.00,0.00,0.00,1.23,84.50,91.40,9.51,7.70,0.00,120.60,95.50,0.00,2.00,0.00,0.00
31.00,0.00,23.72,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,12.16,52.01,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.30,78.80,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,119.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,7.70,9.60,18.00,0.00,0.00,0.00,1.23,83.50,91.12,9.36,7.36,0.00,121.00,90.50,0.00,2.00,0.00,0.00
32.00,0.00,23.79,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,16.41,50.94,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.50,78.70,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,125.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,7.80,10.10,18.00,0.00,0.00,0.00,1.23,85.50,90.86,9.36,7.10,0.00,120.80,90.00,0.00,2.00,0.00,0.00
33.00,0.00,23.73,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,14.75,49.38,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.70,78.60,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,115.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.00,10.90,18.00,0.00,0.00,0.00,1.23,82.50,90.54,9.08,6.82,0.00,120.60,88.50,0.00,2.00,0.00,0.00
34.00,0.00,23.68,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,10.13,45.31,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,26.40,77.50,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,95.80,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.40,11.60,18.00,0.00,0.00,0.00,1.23,79.80,90.20,8.71,6.54,0.00,120.10,75.50,0.00,2.00,0.00,0.00
35.00,0.00,23.64,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,9.26,39.10,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.90,76.10,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,85.20,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.90,12.20,18.00,0.00,0.00,0.00,1.23,74.87,89.91,8.38,6.43,0.00,119.50,61.40,0.00,2.00,0.00,0.00
36.00,0.00,23.79,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,8.30,36.50,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.60,75.20,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,80.60,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,9.00,12.60,18.00,0.00,0.00,0.00,1.23,72.84,89.64,8.08,6.37,0.00,118.50,57.50,0.00,2.00,0.00,0.00
37.00,0.00,23.76,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,8.02,35.74,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.40,74.40,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,75.40,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,9.10,12.80,18.00,0.00,0.00,0.00,1.23,69.83,87.54,7.29,5.66,0.00,117.40,54.10,0.00,2.00,0.00,0.00
38.00,0.00,23.61,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,7.97,35.59,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.20,72.50,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,68.10,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.80,12.70,18.00,0.00,0.00,0.00,1.23,66.50,84.85,6.33,4.73,0.00,115.20,50.30,0.00,2.00,0.00,0.00
39.00,0.00,23.69,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,9.40,36.01,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,25.00,70.10,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,60.10,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.40,12.50,18.00,0.00,0.00,0.00,1.23,62.13,81.42,5.54,3.92,0.00,112.70,46.20,0.00,2.00,0.00,0.00
40.00,0.00,23.79,0.00,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,0.00,0.00,18.05,0.00,8.00,11.32,36.61,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,0.00,24.70,69.50,3.10,0.00,19.51,19.32,0.00,9.20,0.00,0.00,20.00,19.51,19.51,2.40,55.40,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,7.70,12.10,18.00,0.00,0.00,0.00,1.23,57.42,77.75,4.80,3.13,0.00,110.10,42.00,0.00,2.00,0.00,0.00
