"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASAGRANDETV1","CTCASAGRANDETV3"
21.00,0.66,14.63,1.77,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,6.40,18.05,0.00,0.00,12.50,60.05,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,2.41,13.80,47.30,2.20,27.00,19.51,18.05,23.57,18.05,6.59,0.60,19.51,19.51,19.51,2.40,124.40,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.44,12.08,18.00,0.00,0.00,0.09,1.00,56.30,63.70,4.60,4.50,24.01,59.90,129.20,0.00,2.00,13.04,2.35,11.00,1.44,0.00,22.40
22.00,0.18,14.46,0.53,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,2.13,18.05,0.00,0.00,11.10,55.00,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.34,14.20,47.70,2.20,27.00,19.51,18.05,6.25,18.05,1.53,0.60,19.51,19.51,19.51,2.40,121.20,12.88,13.66,3.00,10.80,8.77,9.60,2.40,10.72,11.23,18.00,0.00,0.00,0.04,1.00,56.40,64.80,4.40,4.12,5.53,62.20,122.40,0.00,2.00,3.83,0.00,11.00,0.00,0.00,22.40
23.00,0.03,13.93,0.08,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.29,18.05,0.00,0.00,9.70,50.24,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,14.40,47.90,2.20,27.00,19.51,18.05,0.50,18.05,0.08,0.60,19.51,19.51,19.51,2.40,117.00,12.88,13.66,3.00,10.80,8.77,9.60,2.40,9.99,10.43,18.00,0.00,0.00,0.00,1.00,56.80,66.10,4.20,3.79,0.33,64.70,113.10,0.00,2.00,0.42,0.00,11.00,0.00,0.00,22.40
24.00,0.00,14.63,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,8.90,46.38,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,14.10,46.20,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,104.60,12.88,13.66,3.00,10.80,8.77,9.60,2.40,9.24,9.75,18.00,0.00,0.00,0.00,1.00,57.40,66.90,4.00,3.62,0.00,64.80,97.40,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
25.00,0.00,14.46,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,8.30,42.59,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,13.60,43.80,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,89.50,12.88,13.66,3.00,10.80,8.77,9.60,2.40,8.34,8.93,18.00,0.00,0.00,0.00,1.00,58.10,67.60,3.80,3.44,0.00,64.20,79.40,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
26.00,0.00,13.93,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,7.50,39.03,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,12.90,41.30,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,78.30,12.88,13.66,3.00,10.80,8.77,9.60,2.40,6.98,7.73,18.00,0.00,0.00,0.00,1.00,58.50,67.50,3.60,3.23,0.00,63.50,64.90,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
27.00,0.00,14.63,0.00,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,6.60,35.72,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,12.30,38.70,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,68.50,12.88,13.66,3.00,10.80,8.77,9.60,2.40,5.88,6.74,18.00,0.00,0.00,0.00,1.00,58.80,67.20,3.30,2.95,0.00,62.80,51.60,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
28.00,0.00,14.46,0.00,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,6.10,33.19,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,12.20,36.80,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,61.70,12.88,13.66,3.00,10.80,8.77,9.60,2.40,5.55,6.41,18.00,0.00,0.00,0.00,1.00,58.00,68.20,3.30,2.48,0.00,61.50,43.70,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
29.00,0.00,13.93,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,5.90,31.55,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,12.40,35.20,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,55.90,12.88,13.66,3.00,10.80,8.77,9.60,2.40,5.11,5.97,18.00,0.00,0.00,0.00,1.00,57.00,69.60,3.30,2.08,0.00,60.00,37.60,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
30.00,0.00,14.63,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,6.20,32.59,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,12.20,33.50,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,49.80,12.88,13.66,3.00,10.80,8.77,9.60,2.40,4.34,5.19,18.00,0.00,0.00,0.00,1.00,54.60,69.20,3.20,1.94,0.00,58.40,32.90,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
31.00,0.00,14.46,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,6.80,33.43,8.10,0.00,15.61,2.50,18.15,14.63,17.56,19.51,1.40,0.00,11.90,31.90,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,43.50,12.88,13.66,3.00,10.80,8.77,9.60,2.40,3.73,4.54,18.00,0.00,0.00,0.00,1.00,51.90,68.20,2.90,1.82,0.00,56.70,28.50,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
32.00,0.00,13.93,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,7.50,33.63,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,11.70,30.40,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,36.60,12.88,13.66,3.00,10.80,8.77,9.60,2.40,3.61,4.28,18.00,0.00,0.00,0.00,1.00,48.30,66.20,2.60,1.76,0.00,55.60,23.40,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
33.00,0.00,14.63,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,8.30,34.06,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,11.50,29.10,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,29.40,12.88,13.66,3.00,10.80,8.77,9.60,2.40,3.33,3.79,18.00,0.00,0.00,0.00,1.00,44.40,63.80,2.40,1.67,0.00,54.70,18.10,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
34.00,0.00,14.46,0.00,14.00,1.45,7.30,5.80,6.30,1.70,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,8.80,35.14,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,11.50,28.00,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,23.60,12.88,13.66,3.00,10.80,8.77,9.60,2.40,2.61,2.61,18.00,0.00,0.00,0.00,1.00,40.90,61.50,2.20,1.49,0.00,53.20,15.50,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
