"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
11.00,13.51,20.31,14.04,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.04,18.94,13.00,0.00,7.60,15.52,18.31,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.65,0.00,0.00,3.50,27.00,14.00,11.84,144.48,17.86,37.67,0.60,15.00,15.00,15.00,2.40,61.20,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,1.97,5.39,18.00,0.00,0.00,0.55,1.00,59.71,74.47,3.88,6.12,111.04,106.20,62.00,0.10,1.16,79.97,238.90,12.00,203.00,11.00
12.00,14.27,20.23,15.56,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.90,19.09,13.00,0.00,7.60,14.49,19.84,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.73,0.00,0.00,3.50,27.00,14.00,11.84,144.48,17.86,38.05,0.60,15.00,15.00,15.00,2.40,62.90,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.50,5.96,18.00,0.00,0.00,0.75,1.00,61.36,75.09,4.23,6.82,111.45,107.50,69.10,0.20,1.12,80.00,235.80,12.00,204.00,11.00
13.00,14.80,20.17,16.82,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.75,19.02,13.00,0.00,7.60,13.46,24.84,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.68,0.00,0.00,3.50,27.00,14.00,11.84,144.48,17.86,38.26,0.60,15.00,15.00,15.00,2.40,64.90,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.92,6.38,18.00,0.00,0.00,0.93,1.00,63.50,75.45,4.49,7.35,111.15,108.70,77.00,0.20,1.12,80.00,234.50,12.00,204.00,11.00
14.00,15.40,19.71,17.85,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.11,18.92,13.00,0.00,7.60,12.43,30.99,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.65,0.00,0.00,3.50,27.00,14.00,11.84,144.41,17.86,38.39,0.60,15.00,15.00,15.00,2.40,69.30,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.31,6.75,18.00,0.00,0.00,1.04,1.00,65.80,75.73,4.71,7.83,111.06,109.40,83.30,0.30,1.12,80.00,239.40,12.00,204.00,11.00
15.00,16.01,18.71,18.69,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.51,18.84,13.00,0.00,7.60,12.85,38.90,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.65,0.00,0.00,3.50,27.00,14.00,11.84,144.18,17.86,38.51,0.60,15.00,15.00,15.00,2.40,74.40,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.52,7.20,18.00,0.00,0.00,1.13,1.00,67.05,76.09,4.87,8.33,111.15,109.80,88.90,0.30,1.16,80.00,244.70,12.00,204.00,11.00
16.00,16.31,18.00,19.11,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.65,18.80,13.00,0.00,7.60,13.76,47.39,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.73,0.00,0.00,3.50,27.00,14.00,11.84,143.26,17.86,38.66,0.60,15.00,15.00,15.00,2.40,87.40,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.66,7.68,18.00,0.00,0.00,1.15,1.00,67.96,76.48,5.01,8.84,111.20,109.80,100.20,0.30,1.12,80.00,247.20,12.00,204.00,11.00
17.00,16.24,18.75,19.14,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.48,18.88,13.00,0.00,7.60,19.19,61.59,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.81,0.00,0.00,3.50,27.00,14.00,11.84,139.18,17.86,38.56,0.60,15.00,15.00,15.00,2.40,103.00,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.80,8.34,18.00,0.00,0.00,1.14,1.00,69.60,78.44,5.17,9.11,111.06,109.60,113.40,0.40,1.12,80.00,248.40,12.00,204.00,11.00
18.00,16.17,18.33,19.05,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.74,18.89,13.00,0.00,7.60,16.78,66.03,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.86,0.00,0.00,3.50,27.00,14.00,11.84,142.57,17.86,38.57,0.60,15.00,15.00,15.00,2.40,110.30,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.94,9.07,18.00,0.00,0.00,1.16,1.00,71.49,80.93,5.35,9.29,111.52,109.30,122.20,0.40,1.08,80.00,248.50,12.00,204.00,11.00
19.00,15.92,18.14,18.59,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.54,18.92,13.00,0.00,7.60,17.97,67.45,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.87,0.00,0.00,3.50,27.00,14.00,11.84,143.78,17.86,38.44,0.60,15.00,15.00,15.00,2.40,114.70,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.98,9.09,18.00,0.00,0.00,1.15,1.00,71.62,80.60,5.47,9.40,111.61,109.00,129.60,0.40,1.12,80.00,247.60,12.00,204.00,11.00
20.00,15.27,17.75,17.59,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.27,18.99,13.00,0.00,7.60,19.02,66.20,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.86,0.00,0.00,3.50,27.00,14.00,11.84,143.17,17.86,38.36,0.60,15.00,15.00,15.00,2.40,118.10,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,4.00,8.87,18.00,0.00,0.00,1.15,1.00,71.17,79.32,5.58,9.49,111.65,108.70,132.90,0.40,1.08,80.00,243.80,12.00,204.00,11.00
21.00,14.37,16.85,16.24,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.72,19.06,13.00,0.00,7.60,19.61,65.69,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.82,0.00,0.00,3.50,27.00,14.00,11.84,142.14,17.86,38.46,0.60,15.00,15.00,15.00,2.40,121.20,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.76,8.32,18.00,0.00,0.00,1.15,1.00,71.13,79.87,5.70,9.53,111.89,108.50,134.90,0.30,1.08,80.00,232.90,12.00,199.00,11.00
22.00,13.55,16.63,14.84,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.71,19.11,13.00,0.00,7.60,20.05,65.43,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.74,0.00,0.00,3.50,27.00,14.00,11.84,144.28,17.86,38.39,0.60,15.00,15.00,15.00,2.40,122.50,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.44,7.65,18.00,0.00,0.00,0.97,1.00,71.23,81.02,5.83,9.57,111.66,108.40,138.20,0.20,1.08,80.00,219.70,12.00,194.00,11.00
23.00,12.82,16.32,13.15,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,19.43,19.00,13.00,0.00,7.60,20.28,67.44,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.57,0.00,0.00,3.50,27.00,14.00,11.84,144.19,17.86,37.92,0.60,15.00,15.00,15.00,2.40,123.40,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,3.11,6.52,18.00,0.00,0.00,0.94,1.00,71.44,82.57,5.79,9.63,110.56,108.40,141.90,0.20,1.08,79.99,217.70,12.00,185.00,11.00
24.00,12.01,16.50,11.21,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,18.76,18.69,13.00,0.00,7.60,20.45,70.22,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,15.27,0.00,0.00,3.50,27.00,14.00,11.84,143.44,17.86,36.77,0.60,15.00,15.00,15.00,2.40,123.40,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.79,5.22,18.00,0.00,0.00,0.88,1.00,71.70,84.24,5.69,9.71,108.21,108.20,141.60,0.10,1.08,79.77,236.60,12.00,176.00,11.00
25.00,11.27,16.73,8.83,14.00,2.90,7.40,5.00,14.00,1.88,0.40,3.50,19.13,17.35,18.00,13.00,0.00,7.60,20.54,71.05,8.00,5.00,9.00,4.60,18.93,18.93,17.00,20.00,2.80,14.46,0.00,0.00,3.50,27.00,14.00,11.84,140.74,17.86,33.54,0.60,15.00,15.00,15.00,2.40,123.20,10.19,19.00,19.42,2.50,10.70,7.90,13.00,2.40,2.94,4.88,18.00,0.00,0.00,0.74,1.00,72.03,85.21,5.53,9.56,103.17,108.10,140.10,0.10,1.08,77.64,212.30,12.00,143.00,11.00
