"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
23.00,16.29,20.08,19.63,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,19.49,18.89,3.10,0.00,6.80,10.41,39.00,8.05,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.77,18.10,61.37,2.50,26.52,4.50,12.00,143.92,17.86,38.02,0.60,5.00,5.50,5.70,2.40,38.30,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.47,15.87,18.00,0.00,0.00,1.14,0.40,49.00,63.60,6.81,5.56,109.37,85.80,56.10,0.40,1.76,80.00,230.01,0.00,205.00,11.00
24.00,16.26,19.85,19.62,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,18.94,18.92,3.10,0.00,6.80,10.84,41.90,8.06,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.80,17.34,60.71,2.50,26.60,4.50,12.00,144.34,17.86,37.97,0.60,5.00,5.50,5.70,2.40,54.30,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.23,15.83,18.00,0.00,0.00,1.16,0.40,50.40,64.60,7.64,6.18,109.78,87.90,72.30,0.40,1.76,80.00,229.28,0.00,205.00,11.00
25.00,16.05,19.96,19.17,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,18.60,18.94,3.10,0.00,6.80,11.04,43.40,8.06,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.81,16.47,59.52,2.50,26.39,4.50,12.00,144.46,17.86,37.89,0.60,5.00,5.50,5.70,2.40,66.40,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.17,15.93,18.00,0.00,0.00,1.15,0.40,50.90,64.90,7.72,6.19,109.91,88.40,84.30,0.40,1.76,80.00,225.83,0.00,204.00,11.00
26.00,15.41,19.83,17.80,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,19.09,19.02,3.10,0.00,6.80,11.16,44.90,8.06,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.83,15.70,57.73,2.50,26.08,4.50,12.00,144.46,17.86,37.86,0.60,5.00,5.50,5.70,2.40,76.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.18,16.07,18.00,0.00,0.00,1.15,0.40,50.00,64.20,7.54,6.00,110.05,88.10,94.00,0.40,1.76,80.00,216.70,0.00,203.00,11.00
27.00,14.47,19.50,15.86,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,19.46,19.15,3.10,0.00,6.80,10.99,46.50,6.42,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.83,15.04,55.33,2.50,25.94,4.50,12.00,144.38,17.86,38.06,0.60,5.00,5.50,5.70,2.40,79.20,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.05,15.91,18.00,0.00,0.00,1.15,0.40,48.70,63.10,7.41,5.70,110.58,85.60,96.90,0.30,1.80,80.00,205.13,0.00,201.00,11.00
28.00,13.62,19.24,14.23,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,19.47,19.20,3.10,0.00,6.80,10.72,47.30,5.43,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.77,14.43,53.31,2.50,26.14,4.50,12.00,144.47,17.86,38.04,0.60,5.00,5.50,5.70,2.40,82.70,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,14.87,15.64,18.00,0.00,0.00,0.97,0.40,47.20,62.90,7.30,5.37,110.49,83.10,99.90,0.20,1.80,80.00,199.97,0.00,199.00,11.00
29.00,12.88,19.11,12.56,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,19.13,19.13,3.10,0.00,6.80,10.19,45.80,5.40,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.64,13.85,51.67,2.50,26.19,4.50,12.00,144.46,17.86,37.66,0.60,5.00,5.50,5.70,2.40,87.40,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,14.55,15.49,18.00,0.00,0.00,0.94,0.40,45.60,63.10,6.74,5.11,109.31,81.00,102.80,0.20,1.88,79.98,215.04,0.00,195.00,11.00
30.00,12.08,18.71,10.76,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,18.27,18.83,3.10,0.00,6.80,9.58,44.70,3.39,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.36,13.37,49.80,2.50,26.17,4.50,12.00,144.13,17.86,36.80,0.60,5.00,5.50,5.70,2.40,91.70,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,14.19,15.38,18.00,0.00,0.00,0.88,0.40,43.10,61.10,6.02,4.88,106.74,78.30,105.60,0.10,1.92,79.57,238.08,0.00,191.00,11.00
31.00,11.32,18.61,8.44,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,16.56,18.14,3.10,0.00,6.80,9.15,44.50,3.52,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,14.76,12.99,47.71,2.50,26.47,4.50,12.00,139.05,17.86,33.88,0.60,5.00,5.50,5.70,2.40,94.50,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,13.84,14.98,18.00,0.00,0.00,0.74,0.40,40.20,58.50,5.21,4.53,101.84,74.10,108.10,0.10,1.92,76.29,215.17,0.00,161.00,11.00
32.00,10.41,18.68,6.07,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,10.50,16.45,3.10,0.00,6.80,8.77,44.70,6.44,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,12.78,12.62,45.65,2.50,26.43,4.50,12.00,106.57,17.86,23.48,0.60,5.00,5.50,5.70,2.40,96.00,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,13.50,14.48,18.00,0.00,0.00,0.54,0.40,38.30,57.40,4.35,4.13,87.55,70.10,108.90,0.10,1.96,55.52,177.34,0.00,131.00,11.00
