"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
21.00,16.65,15.19,17.77,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,17.80,18.69,17.48,0.00,6.80,15.62,59.18,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.98,21.50,61.08,3.40,27.00,19.42,17.96,144.48,17.96,39.33,0.60,19.42,19.42,19.42,2.40,65.50,12.82,19.42,6.00,10.80,8.30,12.62,2.40,5.77,8.88,18.00,0.00,0.00,1.06,1.00,63.03,76.90,8.50,7.40,112.79,90.30,70.20,0.30,2.00,79.99,250.40,11.00,209.00
22.00,17.33,16.35,18.74,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,18.31,18.70,17.48,0.00,6.80,16.87,65.54,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.99,21.90,63.57,3.40,27.00,19.42,17.96,144.48,17.96,39.45,0.60,19.42,19.42,19.42,2.40,76.60,12.82,19.42,6.00,10.80,8.30,12.62,2.40,6.33,9.21,18.00,0.00,0.00,1.08,1.00,67.77,79.10,9.40,8.10,112.74,94.33,83.00,0.40,2.00,79.98,250.40,11.00,208.00
23.00,17.34,16.72,18.90,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,18.32,18.73,17.48,0.00,6.80,18.04,70.75,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.98,22.20,65.86,3.40,27.00,19.42,17.96,139.89,17.96,39.47,0.60,19.42,19.42,19.42,2.40,88.10,12.82,19.42,6.00,10.80,8.30,12.62,2.40,6.78,9.41,18.00,0.00,0.00,1.07,1.00,72.11,81.00,10.30,8.70,112.28,98.05,97.40,0.40,2.00,79.92,250.40,11.00,208.00
24.00,16.88,16.54,18.78,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,17.59,18.77,17.48,0.00,6.80,18.98,72.47,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.98,22.60,67.56,3.40,27.00,19.42,17.96,141.03,17.96,39.34,0.60,19.42,19.42,19.42,2.40,98.20,12.82,19.42,6.00,10.80,8.30,12.62,2.40,6.87,9.26,18.00,0.00,0.00,1.09,1.00,75.24,82.00,10.60,9.10,111.77,101.76,106.90,0.40,2.00,79.95,250.40,11.00,208.00
25.00,16.27,16.78,18.45,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,17.43,18.77,17.48,0.00,6.80,19.68,73.79,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.99,23.00,69.25,3.40,27.00,19.42,17.96,143.62,17.96,39.10,0.60,19.42,19.42,19.42,2.40,107.70,12.82,19.42,6.00,10.80,8.30,12.62,2.40,6.66,8.80,18.00,0.00,0.00,1.08,1.00,77.66,82.80,10.90,9.50,111.28,104.69,114.80,0.40,2.00,79.96,250.40,11.00,206.00
26.00,15.67,16.46,17.59,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,17.67,18.71,17.48,0.00,6.80,19.65,73.90,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.98,23.30,70.93,3.40,27.00,19.42,17.96,144.48,17.96,38.78,0.60,19.42,19.42,19.42,2.40,113.40,12.82,19.42,6.00,10.80,8.30,12.62,2.40,5.55,7.46,18.00,0.00,0.00,1.08,1.00,77.94,83.20,11.00,9.60,111.32,107.61,120.50,0.30,2.00,79.94,250.40,11.00,204.00
27.00,14.91,15.78,16.13,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,18.27,18.64,17.48,0.00,6.80,19.52,73.79,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.96,23.50,72.23,3.40,27.00,19.42,17.96,144.48,17.96,38.51,0.60,19.42,19.42,19.42,2.40,117.70,12.82,19.42,6.00,10.80,8.30,12.62,2.40,4.59,6.09,18.00,0.00,0.00,1.08,1.00,77.79,83.40,11.20,9.70,111.56,107.67,125.40,0.20,2.00,79.90,250.40,11.00,199.00
28.00,13.31,12.53,14.83,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,18.50,18.68,17.48,0.00,6.80,19.11,72.97,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.95,23.60,72.38,3.40,27.00,19.42,17.96,144.48,17.96,37.86,0.60,19.42,19.42,19.42,2.40,120.00,12.82,19.42,6.00,10.80,8.30,12.62,2.40,4.10,4.67,18.00,0.00,0.00,0.91,1.00,76.37,83.10,11.20,9.60,111.26,107.72,127.20,0.20,2.00,79.68,250.40,11.00,194.00
29.00,11.03,16.74,13.25,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,17.84,18.61,17.48,0.00,6.80,19.00,72.36,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.86,23.70,72.38,3.40,27.00,19.42,17.96,144.43,17.96,37.06,0.60,19.42,19.42,19.42,2.40,121.80,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.70,3.52,18.00,0.00,0.00,0.88,1.00,75.26,82.80,11.10,9.50,110.27,106.41,128.10,0.10,2.00,78.65,250.40,11.00,185.00
30.00,9.04,12.93,11.38,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,16.62,18.34,17.48,0.00,6.80,19.85,72.35,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.63,23.90,71.90,3.40,27.00,19.42,17.96,143.97,17.96,35.29,0.60,19.42,19.42,19.42,2.40,123.10,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.55,3.19,18.00,0.00,0.00,0.83,1.00,75.08,83.60,11.00,9.40,108.25,105.10,130.20,0.10,2.00,77.77,250.40,11.00,176.00
