"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
21.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,3.90,74.99,76.38,66.62,66.54,81.64,16.53,16.51,16.51,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
22.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,3.32,74.99,76.38,66.62,66.54,81.64,13.57,13.56,13.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
23.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.68,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,2.67,74.99,76.38,66.62,66.54,81.64,30.70,0.00,0.00,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
24.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,2.67,74.99,76.38,66.62,66.54,81.64,30.70,0.00,0.00,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
25.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,48.20,66.54,81.64,25.67,25.57,25.56,64.72,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
26.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
27.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
28.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.76,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
29.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,69.72,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.98,95.55,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,58.50,66.54,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
30.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,139.33,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.88,87.77,0.00,6.39,9.98,95.55,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,58.50,66.54,81.64,30.70,30.59,30.58,85.00,87.36,110.37,110.32,203.40,20.46,20.42,22.16,21.95,5.06
