"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
33.00,3.52,0.00,2.91,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,2.58,6.53,8.50,10.00,17.31,52.33,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,5.59,9.87,35.28,3.00,24.00,9.00,18.46,61.00,8.00,8.58,0.60,9.00,10.00,10.00,0.00,57.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.47,15.39,19.00,0.45,1.30,31.95,47.44,3.60,3.46,43.92,52.48,65.00,0.00,1.84,20.24,78.26,11.00,44.72,13.50,0.12,13.74,16.21
34.00,0.65,0.00,0.67,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.47,1.47,8.50,10.00,16.66,51.93,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,1.33,9.56,34.14,3.00,24.30,9.00,18.46,22.00,8.00,2.93,0.60,9.00,10.00,10.00,0.00,65.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.58,15.21,19.00,0.31,1.29,31.55,44.07,3.67,2.87,15.84,50.90,71.00,0.00,1.88,5.95,19.82,11.00,8.63,13.50,0.06,7.26,1.37
35.00,0.20,0.00,0.10,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.04,8.50,10.00,15.29,54.06,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.05,9.16,33.87,3.00,24.50,9.00,18.46,2.00,8.00,0.24,0.60,9.00,10.00,10.00,0.00,70.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.62,15.03,19.00,0.11,1.29,27.75,40.46,2.98,2.75,1.44,51.98,72.00,0.00,1.88,0.85,1.12,11.00,0.40,13.50,0.01,0.79,0.00
36.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,14.73,54.45,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,9.10,35.04,3.00,24.80,9.00,18.46,0.00,8.00,0.11,0.60,9.00,10.00,10.00,0.00,70.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.66,14.86,19.00,0.05,1.29,27.82,39.25,2.85,2.51,0.00,51.33,67.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.39,0.00
37.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,4.50,10.00,14.22,51.34,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,9.51,35.76,3.00,25.10,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,67.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.99,14.79,19.00,0.00,1.29,25.40,35.49,2.53,2.25,0.00,48.94,60.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
38.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,4.50,10.00,13.17,51.05,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,8.64,34.69,3.00,25.30,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,61.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.32,14.72,19.00,0.00,1.29,25.71,35.15,2.88,2.23,0.00,47.67,49.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
39.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,4.50,10.00,12.25,42.64,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,8.27,32.16,3.00,25.50,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,53.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.39,14.63,19.00,0.00,1.29,22.91,33.30,2.36,1.56,0.00,46.78,39.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
40.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,4.50,10.00,12.65,37.95,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,8.05,29.33,3.00,25.60,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,44.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.46,14.54,19.00,0.00,1.28,23.52,32.48,2.12,1.50,0.00,44.47,30.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
41.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,13.22,35.03,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,6.83,26.13,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,34.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.56,14.44,19.00,0.00,1.28,20.91,29.95,1.99,1.45,0.00,40.26,22.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
42.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,13.50,32.22,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,6.89,25.05,3.00,25.90,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,24.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.66,14.34,19.00,0.00,1.28,21.14,29.92,1.69,1.31,0.00,37.92,15.00,0.00,1.88,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
43.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,13.95,30.59,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,6.84,23.40,3.00,25.90,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,17.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.66,14.24,19.00,0.00,1.28,20.98,29.45,1.60,1.12,0.00,36.29,11.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
44.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,13.35,27.88,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,6.65,21.23,3.00,25.90,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,13.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.67,14.14,19.00,0.00,1.28,21.44,28.74,1.76,1.02,0.00,36.15,8.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
45.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,12.44,25.04,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,5.79,19.11,3.00,25.80,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,9.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.67,14.20,19.00,0.00,1.28,21.09,27.43,1.63,0.86,0.00,34.48,6.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
46.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,11.60,22.95,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,5.70,17.27,3.00,25.90,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,7.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.68,14.25,19.00,0.00,1.28,21.27,27.48,0.91,0.89,0.00,32.94,4.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
47.00,0.00,0.00,0.00,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,0.00,0.00,8.50,10.00,10.84,21.15,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,0.00,4.93,15.21,3.00,26.00,9.00,18.46,0.00,8.00,0.00,0.60,9.00,10.00,10.00,0.00,5.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,17.68,14.33,19.00,0.00,1.28,21.91,24.54,1.16,0.68,0.00,28.28,3.00,0.00,1.84,0.00,0.00,11.00,0.00,13.50,0.00,0.00,0.00
