"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
21.00,3.54,14.85,1.41,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,7.09,14.58,19.00,0.00,4.20,20.11,74.47,0.00,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,11.68,25.14,80.82,2.10,27.00,19.51,18.05,94.66,18.40,24.03,0.60,19.51,19.51,19.51,1.20,127.01,10.00,11.00,6.00,10.70,8.14,5.90,0.00,3.41,2.78,18.90,0.37,1.00,99.28,102.80,5.23,9.36,78.63,103.50,130.97,0.10,2.00,60.35,246.18,11.00,161.77,18.00,8.90,0.19
22.00,1.33,14.90,0.05,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.45,10.36,19.00,0.00,4.20,19.67,74.47,0.00,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,7.74,24.49,80.23,2.10,27.00,19.51,18.05,54.68,18.40,12.91,0.60,19.51,19.51,19.51,1.20,127.30,10.00,11.00,6.00,10.70,8.14,5.90,0.00,2.92,1.88,18.90,0.25,1.00,96.31,100.80,5.05,9.17,49.31,102.20,131.30,0.00,2.00,32.55,173.59,11.00,108.49,18.00,4.45,0.13
23.00,0.28,14.75,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,5.03,19.00,0.00,4.20,19.14,73.93,0.00,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,2.77,24.03,79.42,2.10,27.00,19.51,18.05,21.25,18.40,4.87,0.60,19.51,19.51,19.51,1.20,126.68,10.00,11.00,6.00,10.70,8.14,5.90,0.00,2.89,1.71,18.90,0.09,1.00,91.97,98.10,4.66,8.33,19.78,99.00,129.42,0.00,2.00,11.78,43.43,11.00,43.16,18.00,2.23,0.08
24.00,0.04,14.81,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,1.80,19.00,0.00,4.20,18.59,73.19,6.33,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.54,23.63,78.53,2.10,27.00,19.51,18.05,5.82,18.40,1.09,0.60,19.51,19.51,19.51,1.20,125.76,10.00,11.00,6.00,10.70,8.14,5.90,0.00,3.01,1.78,18.90,0.04,1.00,87.16,95.70,4.20,7.28,5.22,95.90,126.80,0.00,2.00,3.38,9.95,11.00,9.90,18.00,0.00,0.03
25.00,0.00,15.29,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,17.74,71.77,7.17,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.65,77.42,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,124.29,10.00,11.00,6.00,10.70,8.14,5.90,0.00,2.68,1.57,18.90,0.00,1.00,82.64,93.90,3.65,6.37,0.00,93.30,122.75,0.00,2.00,0.16,0.57,11.00,0.25,18.00,0.00,0.00
26.00,0.00,16.17,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,16.78,70.11,8.07,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.80,76.23,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,122.63,10.00,11.00,6.00,10.70,8.14,5.90,0.00,2.19,1.27,18.90,0.00,1.00,78.22,92.40,3.08,5.49,0.00,91.00,118.22,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
27.00,0.00,15.31,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,16.26,67.80,8.07,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.88,75.37,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,116.15,10.00,11.00,6.00,10.70,8.14,5.90,0.00,1.71,0.96,18.90,0.00,1.00,74.16,91.50,2.90,4.89,0.00,89.60,108.57,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
28.00,0.00,14.71,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,15.89,65.26,8.07,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.95,74.63,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,108.07,10.00,11.00,6.00,10.70,8.14,5.90,0.00,1.23,0.66,18.90,0.00,1.00,70.23,90.40,2.85,4.38,0.00,88.30,97.22,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
29.00,0.00,14.84,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,15.67,60.97,8.06,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.67,72.72,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,97.23,10.00,11.00,6.00,10.70,8.14,5.90,0.00,1.03,0.51,18.90,0.00,1.00,66.40,88.90,2.79,4.00,0.00,87.00,86.54,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
30.00,0.00,14.73,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,15.51,56.10,8.06,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.27,70.42,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,85.47,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.92,0.43,18.90,0.00,1.00,62.60,86.80,2.73,3.67,0.00,86.00,76.08,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
31.00,0.00,15.20,0.00,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,15.61,51.18,8.06,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,23.09,69.10,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,75.06,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.84,0.34,18.90,0.00,1.00,59.64,83.00,2.51,3.24,0.00,86.10,66.53,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
32.00,0.00,15.48,0.00,18.00,4.20,8.10,6.00,7.30,1.60,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,15.81,46.24,8.05,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,22.99,68.11,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,65.09,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.77,0.25,18.90,0.00,1.00,56.97,79.50,2.24,2.78,0.00,86.10,57.28,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
33.00,0.00,15.68,0.00,18.00,4.20,8.10,6.00,7.30,1.60,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,16.25,42.52,8.04,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,22.64,66.34,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,60.79,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.70,0.44,18.90,0.00,1.00,54.84,76.70,2.03,2.46,0.00,86.10,53.54,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
34.00,0.00,15.84,0.00,18.00,4.20,8.10,6.00,7.30,1.60,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,16.78,39.20,8.00,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,22.22,64.31,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,58.39,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.63,0.72,18.90,0.00,1.00,52.89,73.90,1.85,2.18,0.00,86.00,51.62,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
35.00,0.00,15.68,0.00,18.00,4.20,8.10,6.00,7.30,1.60,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,18.57,36.24,0.00,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,22.16,63.51,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,56.72,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.63,1.03,18.90,0.00,1.00,50.71,71.20,1.74,2.04,0.00,85.90,49.18,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
36.00,0.00,15.77,0.00,18.00,4.20,8.10,6.00,7.30,1.60,0.00,2.50,0.00,0.00,0.00,19.00,0.00,4.20,20.79,33.40,0.00,0.00,15.41,3.80,17.56,14.63,14.63,18.54,1.40,0.00,22.24,63.12,2.10,27.00,19.51,18.05,0.00,18.40,0.00,0.60,19.51,19.51,19.51,1.20,55.30,10.00,11.00,6.00,10.70,8.14,5.90,0.00,0.64,1.35,18.90,0.00,1.00,48.45,68.70,1.65,1.95,0.00,85.60,46.57,0.00,2.00,0.00,0.00,11.00,0.00,18.00,0.00,0.00
