"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
21.00,2.20,23.71,1.20,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,7.30,14.40,17.56,10.93,8.60,4.30,41.40,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,9.10,20.80,70.90,2.90,0.00,19.51,17.56,35.60,18.34,4.20,0.00,17.00,17.00,17.00,2.40,112.20,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,6.10,5.60,18.00,1.00,1.58,0.31,1.23,58.80,67.30,5.20,6.00,40.60,90.40,131.40,0.10,2.00,46.33
22.00,0.60,23.59,0.40,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,2.80,9.60,17.56,10.93,8.60,3.60,39.80,7.80,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,4.00,19.80,69.50,2.90,0.00,19.51,17.56,10.20,18.34,1.80,0.00,17.00,17.00,17.00,2.40,113.30,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,5.50,5.00,18.00,1.00,1.58,0.22,1.23,57.80,67.80,5.00,5.70,13.40,87.90,133.00,0.10,2.00,23.29
23.00,0.00,23.75,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.90,3.20,17.56,10.93,8.60,3.70,38.30,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,1.10,18.60,66.30,2.90,0.00,19.51,17.56,2.10,18.34,0.40,0.00,17.00,17.00,17.00,2.40,114.40,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,4.80,4.50,18.00,1.00,1.58,0.08,1.23,58.00,68.50,4.40,5.00,4.30,84.80,133.30,0.00,2.00,10.47
24.00,0.00,23.61,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.20,17.56,10.93,8.60,3.80,37.50,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,18.90,62.90,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,116.50,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,4.00,4.10,18.00,1.00,1.58,0.04,1.23,59.30,70.40,3.80,4.50,0.00,86.10,134.10,0.00,2.00,3.11
25.00,0.00,23.61,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,3.00,38.80,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,19.70,58.30,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,117.20,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,3.10,3.80,18.00,1.00,1.58,0.00,1.23,60.20,72.00,3.30,4.20,0.00,88.90,132.30,0.00,2.00,0.26
26.00,0.00,23.78,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.50,38.90,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,19.10,54.10,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,116.50,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.30,3.50,18.00,1.00,1.58,0.00,1.23,61.40,74.10,2.90,4.00,0.00,87.40,130.10,0.00,2.00,0.00
27.00,0.00,23.70,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.60,35.00,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,18.00,51.40,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,121.49,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.20,2.90,18.00,1.00,1.58,0.00,1.23,73.69,87.99,2.80,3.70,0.00,84.60,136.69,0.00,2.00,0.00
28.00,0.00,23.49,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.60,31.50,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,17.20,48.70,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,116.02,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.00,2.50,18.00,1.00,1.58,0.00,1.23,75.22,90.92,2.70,3.40,0.00,83.60,130.32,0.00,2.00,0.00
29.00,0.00,23.44,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.60,29.10,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,16.50,46.00,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,101.02,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.10,2.20,18.00,1.00,1.58,0.00,1.23,66.82,83.22,2.70,3.10,0.00,83.20,107.12,0.00,2.00,0.00
30.00,0.00,23.59,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.70,27.30,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,15.80,43.40,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,92.92,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.20,2.00,18.00,1.00,1.58,0.00,1.23,64.62,81.42,2.70,2.70,0.00,80.00,90.82,0.00,2.00,0.00
31.00,0.00,23.68,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,2.80,27.30,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,15.30,40.80,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,84.92,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.20,1.70,18.00,1.00,1.58,0.00,1.23,60.72,76.82,2.50,2.20,0.00,75.90,74.72,0.00,2.00,0.00
32.00,0.00,23.58,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,3.00,26.90,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,13.90,38.30,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,77.32,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.20,1.50,18.00,1.00,1.58,0.00,1.23,57.02,72.42,2.30,1.80,0.00,68.50,60.12,0.00,2.00,0.00
33.00,0.00,23.55,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,3.20,25.60,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,12.40,36.30,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,70.52,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.10,1.60,18.00,1.00,1.58,0.00,1.23,54.12,68.72,2.10,1.50,0.00,60.00,50.22,0.00,2.00,0.00
34.00,0.00,23.40,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,3.50,24.10,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,10.70,34.00,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,63.52,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.10,1.70,18.00,1.00,1.58,0.00,1.23,51.02,64.82,1.90,1.30,0.00,50.90,41.62,0.00,2.00,0.00
35.00,0.00,23.45,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,4.00,21.50,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,9.00,30.30,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,55.62,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.10,1.60,18.00,1.00,1.58,0.00,1.23,47.62,60.52,1.80,1.10,0.00,41.60,36.62,0.00,2.00,0.00
36.00,0.00,23.42,0.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,0.00,0.00,17.56,10.93,8.60,4.50,19.10,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,0.00,7.60,26.80,2.90,0.00,19.51,17.56,0.00,18.34,0.00,0.00,17.00,17.00,17.00,2.40,48.22,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,2.10,1.60,18.00,1.00,1.58,0.00,1.23,44.52,56.32,1.70,0.90,0.00,33.00,32.12,0.00,2.00,0.00
