"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
26.00,10.10,24.02,6.85,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,13.37,14.94,17.49,0.00,9.00,14.31,69.60,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,11.76,24.30,81.27,3.50,25.00,19.44,18.17,75.94,0.00,19.19,0.60,19.44,19.44,19.44,1.20,80.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,4.13,3.42,18.90,0.00,0.00,0.00,1.00,97.68,97.07,4.26,8.22,63.46,107.00,80.00,0.40,2.00,48.05,104.92,11.00,92.07,22.00,0.33,10.44
27.00,11.52,23.78,5.98,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,12.84,14.91,17.49,0.00,9.00,16.48,72.48,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,11.89,24.68,82.15,3.50,25.00,19.44,18.17,65.39,0.00,17.72,0.60,19.44,19.44,19.44,1.20,88.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,5.05,4.12,18.90,0.00,0.00,0.00,1.00,97.68,96.67,3.65,7.55,55.97,108.78,88.00,0.30,2.00,46.78,93.90,11.00,98.48,22.00,0.33,9.13
28.00,12.03,23.91,5.95,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,12.50,14.37,17.49,0.00,9.00,19.05,73.69,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,11.34,24.92,82.54,3.50,24.90,19.44,18.17,51.97,0.00,17.54,0.60,19.44,19.44,19.44,1.20,96.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,5.67,4.53,18.90,0.00,0.00,0.00,1.00,101.65,99.23,4.01,8.19,39.30,109.17,96.00,0.20,2.00,46.20,86.47,11.00,95.61,22.00,0.33,7.83
29.00,10.94,23.67,6.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,12.07,13.48,17.49,0.00,9.00,21.21,74.60,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,10.10,25.10,82.95,3.50,25.10,19.44,18.17,41.64,0.00,15.84,0.60,19.44,19.44,19.44,1.20,102.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,6.25,4.88,18.90,0.00,0.00,0.00,1.00,102.95,100.36,3.86,8.08,38.04,109.57,102.00,0.20,2.00,45.84,82.77,11.00,94.87,22.00,0.32,6.52
30.00,9.57,23.93,5.00,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,10.81,12.64,17.49,0.00,9.00,22.09,74.64,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,9.17,25.21,83.39,3.50,25.00,19.44,18.17,34.65,0.00,14.67,0.60,19.44,19.44,19.44,1.20,107.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,6.67,5.06,18.90,0.00,0.00,0.00,1.00,107.25,104.21,5.42,9.97,26.08,109.48,107.00,0.10,2.00,45.66,60.72,11.00,88.77,22.00,0.31,5.22
31.00,8.05,23.96,4.67,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,8.94,10.72,17.49,0.00,9.00,22.52,74.65,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,8.50,25.27,83.61,3.50,25.10,19.44,18.17,39.56,0.00,13.51,0.60,19.44,19.44,19.44,1.20,111.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,7.02,5.21,18.90,0.00,0.00,0.00,1.00,107.95,105.03,5.12,9.60,27.63,109.39,111.00,0.10,2.00,44.66,32.65,11.00,78.22,22.00,0.28,3.91
32.00,6.22,23.85,3.54,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,6.96,10.01,17.49,0.00,9.00,21.56,74.61,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,7.13,25.28,83.62,3.50,25.30,19.44,18.17,37.27,0.00,8.05,0.60,19.44,19.44,19.44,1.20,115.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,7.13,5.25,18.90,0.00,0.00,0.00,1.00,109.93,107.17,5.73,10.33,22.56,109.08,115.00,0.10,2.00,39.58,21.91,11.00,66.33,22.00,0.24,2.61
33.00,4.33,23.85,2.26,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,5.19,8.71,17.49,0.00,9.00,20.55,74.17,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,5.33,25.28,83.52,3.50,25.20,19.44,18.17,22.29,0.00,5.52,0.60,19.44,19.44,19.44,1.20,118.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,7.16,5.34,18.90,0.00,0.00,0.00,1.00,109.29,107.32,5.66,10.20,18.43,108.77,118.00,0.10,2.00,31.44,18.49,11.00,53.78,22.00,0.19,1.30
34.00,2.67,23.79,1.46,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,3.36,6.07,17.49,0.00,9.00,19.39,72.54,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,3.72,25.26,83.32,3.50,25.10,19.44,18.17,13.71,0.00,9.68,0.60,19.44,19.44,19.44,1.20,121.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,6.95,5.62,18.90,0.00,0.00,0.00,1.00,102.91,103.63,5.41,9.53,12.83,108.19,121.00,0.10,2.00,21.12,12.61,11.00,39.96,22.00,0.14,0.65
35.00,1.39,23.88,0.75,14.00,4.20,7.10,9.00,19.14,3.54,0.40,3.40,18.00,1.14,2.50,17.49,0.00,9.00,18.13,70.66,8.00,10.98,15.35,5.00,19.24,19.24,19.44,19.44,1.40,1.46,25.23,82.92,3.50,25.00,19.44,18.17,4.69,0.00,4.43,0.60,19.44,19.44,19.44,1.20,122.00,12.83,19.44,8.20,10.70,8.25,17.49,1.20,6.64,5.70,18.90,0.00,0.00,0.00,1.00,96.99,100.18,5.16,8.88,4.81,107.62,122.00,0.00,2.00,9.23,5.13,11.00,21.60,22.00,0.10,0.00
