"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
39.00,0.00,19.24,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,26.00,59.00,8.10,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.80,16.80,0.00,27.90,3.20,10.97,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,68.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.90,15.23,9.50,0.00,0.42,47.46,59.63,5.39,4.32,0.00,57.67,68.00,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
40.00,0.00,21.30,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,26.00,59.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.57,16.20,0.00,27.90,3.20,10.97,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,63.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.80,15.43,9.50,0.00,0.42,46.33,57.98,5.81,4.08,0.00,57.94,63.00,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
41.00,0.00,22.07,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,26.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.06,16.30,0.00,27.90,3.20,10.95,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,61.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.21,14.91,9.50,0.00,0.42,48.99,57.23,5.97,3.97,0.00,59.19,61.00,0.00,1.68,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
42.00,0.00,21.26,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,26.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.66,16.40,0.00,27.90,3.20,10.96,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,60.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.35,15.01,9.50,0.00,0.42,46.91,55.84,5.54,3.89,0.00,59.72,60.00,0.00,1.69,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
43.00,0.00,20.79,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,26.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.81,16.60,0.00,27.90,3.20,10.95,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,60.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.07,14.87,9.50,0.00,0.41,48.69,53.89,5.25,3.77,0.00,58.66,60.00,0.00,1.69,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
44.00,0.00,21.39,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,26.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.88,16.70,0.00,27.80,3.20,10.97,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,60.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.94,14.59,9.50,0.00,0.41,45.47,50.84,5.04,3.58,0.00,58.24,60.00,0.00,1.79,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
45.00,0.00,21.50,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,22.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.38,16.70,0.00,27.80,3.20,11.00,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,59.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.90,14.73,9.50,0.00,0.41,47.05,48.83,5.70,3.26,0.00,58.19,59.00,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
46.00,0.00,21.57,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,22.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.91,16.80,0.00,27.80,3.20,11.00,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,55.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.92,14.77,9.50,0.00,0.41,41.68,48.91,4.70,3.39,0.00,57.38,55.00,0.00,1.93,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
47.00,0.00,21.11,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,21.00,53.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.81,16.40,0.00,27.80,3.20,11.00,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,50.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.70,14.43,9.50,0.00,0.43,39.92,46.83,4.96,3.20,0.00,57.15,50.00,0.00,1.94,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
48.00,0.00,21.04,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,21.00,53.00,7.80,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.78,16.10,0.00,27.90,3.20,11.01,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,44.00,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.71,14.35,9.50,0.00,0.43,40.42,43.84,4.72,3.19,0.00,56.55,44.00,0.00,1.94,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
