"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
11.00,0.84,20.99,0.46,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,2.05,0.45,6.00,0.00,7.20,20.76,23.03,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,0.95,16.67,36.91,3.50,27.00,7.00,11.84,7.39,17.86,2.22,0.60,14.56,15.05,15.05,2.40,10.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.16,2.94,18.00,0.00,0.00,0.00,1.00,17.24,40.96,0.51,0.49,4.81,82.63,9.00,0.00,1.16,3.13,6.26,5.00,37.00,11.00
12.00,6.25,21.76,2.67,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,3.85,3.29,6.00,0.00,7.20,20.65,22.08,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,7.17,16.60,37.82,3.50,27.00,7.00,11.84,46.35,17.86,10.07,0.60,14.56,15.05,15.05,2.40,11.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.24,3.15,18.00,0.00,0.00,0.00,1.00,18.00,43.34,0.52,0.53,29.06,83.48,9.00,0.00,1.16,22.76,45.54,5.00,75.00,11.00
13.00,9.14,21.99,4.89,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,4.28,9.64,6.00,0.00,7.20,20.45,20.24,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,12.26,16.26,39.07,3.50,27.00,7.00,11.84,98.49,17.86,22.01,0.60,14.56,15.05,15.05,2.40,12.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.21,3.56,18.00,0.00,0.00,0.03,1.00,18.69,44.54,0.56,0.73,65.82,84.34,10.00,0.00,1.16,51.28,122.41,5.00,128.00,11.00
14.00,11.01,21.70,7.72,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,11.30,15.97,6.00,0.00,7.20,20.24,18.11,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,14.51,15.83,39.87,3.50,27.00,7.00,11.84,134.74,17.86,32.46,0.60,14.56,15.05,15.05,2.40,13.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.13,4.02,18.00,0.00,0.00,0.06,1.00,19.36,45.36,0.60,0.98,94.53,85.82,11.00,0.00,1.16,73.90,209.90,5.00,180.00,11.00
15.00,12.06,21.74,10.43,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,18.28,18.01,6.00,0.00,7.20,19.47,17.01,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,15.33,15.22,40.23,3.50,27.00,7.00,11.84,142.76,17.86,35.91,0.60,14.56,15.05,15.05,2.40,15.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.17,4.58,18.00,0.00,0.00,0.08,1.00,20.24,45.45,0.72,1.35,103.14,87.30,13.00,0.00,1.16,78.40,197.31,5.00,190.00,11.00
16.00,12.72,21.57,12.52,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,19.45,18.69,6.00,0.00,7.20,18.52,16.25,0.00,4.00,9.00,4.80,18.93,18.93,15.53,19.42,2.80,15.60,14.56,42.20,3.50,27.00,7.00,11.84,144.43,17.86,37.20,0.60,14.56,15.05,15.05,2.40,15.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.26,5.18,18.00,0.00,0.00,0.12,1.00,21.20,45.32,0.86,1.77,107.21,88.76,14.00,0.00,1.16,79.58,227.32,5.00,199.00,11.00
17.00,13.48,21.44,14.34,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,19.61,18.99,6.00,0.00,7.20,17.63,19.47,2.60,4.00,9.00,4.80,18.93,18.93,15.53,19.42,1.40,15.72,14.20,45.79,3.50,27.00,7.00,11.84,144.48,17.86,37.83,0.60,14.56,15.05,15.05,2.40,16.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,2.96,5.89,18.00,0.00,0.00,0.55,1.00,24.02,45.97,1.19,2.26,109.24,90.23,16.00,0.10,1.16,79.91,233.69,5.00,203.00,11.00
18.00,14.23,21.59,15.79,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,19.33,19.11,6.00,0.00,7.20,16.76,24.02,3.50,4.00,9.00,4.80,18.93,18.93,15.53,19.42,1.40,15.78,13.95,49.61,3.50,27.00,7.00,11.84,144.48,17.86,38.21,0.60,14.56,15.05,15.05,2.40,16.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,3.87,6.64,18.00,0.00,0.00,0.75,1.00,27.46,46.90,1.58,2.78,109.98,91.96,19.00,0.20,1.12,79.98,230.44,5.00,204.00,11.00
19.00,14.76,21.34,17.04,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,18.98,19.00,6.00,0.00,7.20,15.91,29.27,3.80,4.00,9.00,4.80,18.93,18.93,15.53,19.42,1.40,15.71,15.19,53.67,3.50,27.00,7.00,11.84,144.48,17.86,38.37,0.60,14.56,15.05,15.05,2.40,17.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,5.17,7.79,18.00,0.00,0.00,0.93,1.00,31.33,49.73,1.87,3.18,110.10,93.69,24.00,0.20,1.12,79.99,228.15,5.00,204.00,11.00
20.00,15.34,21.08,18.08,14.00,2.90,7.40,5.00,8.70,1.88,0.40,3.50,19.24,19.22,18.89,6.00,0.00,7.20,15.06,34.74,3.80,4.00,9.00,4.80,18.93,18.93,15.53,19.42,1.40,15.67,16.93,56.97,3.50,27.00,7.00,11.84,144.41,17.86,38.47,0.60,14.56,15.05,15.05,2.40,19.00,11.26,8.00,14.56,2.00,10.70,8.01,0.00,2.40,6.61,9.07,18.00,0.00,0.00,1.04,1.00,35.34,53.19,2.12,3.54,110.29,95.03,31.00,0.30,1.12,80.00,232.99,5.00,204.00,11.00
