"ANEXO 2. HIDROLOGIA DE LAS CENTRALES HIDROELECTRICAS DE GENERACION "

"--------------------------------------------------------------------------------------------------------------------------------------------------"

"RESULTADO DE LAS CENTRALES"
"Los caudales estan en m3/s"

"CENTRALES","CAUDAL","CAUDAL","CAUDAL","CAUDAL"
" ","INICIAL","FINAL"," ","NATURAL","ENTRANTE","DERIVADO"," ","VERTIDO"
"SHEQUE",0.3,0.3," ",8.0,5.0,13.0,0.0,0.0
"HUINCO RES",0.3,0.3," ",0.0,13.0,10.5,0.0,2.5
"PRESA MALPASO",22.0,22.0," ",60.3,0.0,60.3,0.0,0.0
"AGUADA BLANCA",30.0,30.0," ",13.6,0.0,13.6,0.0,0.0
"CAMPANARIO",0.1,0.0," ",0.0,12.9,13.4,0.0,0.0
"CINCEL",0.1,0.1," ",0.0,13.6,12.8,1.0,0.1
"CIRATO",0.3,0.3," ",5.0,0.0,4.7,0.0,0.0
"ARICOTA RES",0.0,0.0," ",0.0,0.0,0.0,0.0,0.0
"PRESA GALLITO CIEGO",300.0,300.0," ",0.0,0.0,0.0,0.0,0.0
"PRESA COMPEN GALLITO",0.7,0.7," ",0.0,15.1,7.5,0.0,7.5
"SAN GABAN",0.1,0.1," ",37.0,0.0,19.5,0.0,17.5
"TULUMAYO",0.9,1.5," ",102.0,0.0,88.3,0.0,6.1
"SAN DIEGO",0.7,0.2," ",107.0,0.0,111.8,0.0,1.3
"HUALLAMAYO",1.0,0.6," ",20.6,0.0,25.3,0.0,0.0
"TABLACHACA",2.5,2.5," ",184.0,0.0,101.0,0.0,83.0
"CHAGLLA EM",354.5,355.3," ",120.0,0.0,106.6,3.7,0.0
"PICUNCHE",0.2,0.1," ",0.0,16.8,17.7,0.0,0.0
"SHAPIRINGO",0.1,0.1," ",10.0,0.0,10.5,0.0,0.0
"CERRO DEL AGUILA EM",24.5,25.0," ",36.0,184.0,203.6,10.6,0.0
"PALLCA",0.3,0.3," ",5.0,0.0,5.0,0.0,0.0
"EMB CHECRAS",0.4,0.5," ",17.4,0.0,16.8,0.0,0.0
"RESER CAPILLUCAS",0.8,0.5," ",41.0,0.0,44.3,0.0,0.0
"PULMON MATUCANA",0.0,0.1," ",0.0,16.0,15.0,0.0,0.5
"TOMA HUAMPANI",0.0,0.0," ",0.0,28.5,24.7,0.0,3.8
"RESERV RESTIT",0.3,0.6," ",0.0,44.3,40.6,0.0,0.4
"TOMA SURCO",0.0,0.0," ",0.0,15.5,11.9,0.0,3.7
