"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
35.00,0.00,23.38,0.20,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.01,0.03,9.00,0.00,7.80,20.00,59.05,7.89,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.03,16.96,59.14,3.52,28.12,16.12,18.46,3.00,5.70,0.30,0.60,15.55,17.49,17.69,2.00,119.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,10.89,11.97,18.95,0.11,0.20,82.01,81.65,10.89,6.72,2.16,75.83,125.00,0.00,2.64,1.03,0.75,11.00,1.97,17.50,0.03,0.76,1.37
36.00,0.00,23.36,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,20.32,60.17,7.89,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.94,59.30,3.52,28.12,15.91,18.46,0.00,5.70,0.13,0.60,15.55,17.49,17.69,2.00,115.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,10.41,11.86,18.94,0.05,0.24,81.39,80.35,10.95,6.32,0.00,74.36,117.00,0.00,2.60,0.00,0.00,11.00,0.00,17.50,0.02,0.38,0.00
37.00,0.00,23.22,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,18.47,53.96,7.88,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,17.04,58.11,3.52,28.12,15.74,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,110.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.75,10.70,18.94,0.00,0.26,81.63,80.18,10.88,6.26,0.00,73.11,106.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
38.00,0.00,23.36,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,17.99,52.94,7.87,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.90,56.81,3.52,28.12,16.10,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,103.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.87,10.41,18.94,0.00,0.27,81.23,78.99,10.70,5.96,0.00,73.77,94.00,0.00,2.68,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
39.00,0.00,23.44,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,17.56,49.54,7.89,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.85,56.34,3.52,28.12,16.07,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,94.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.37,10.25,18.94,0.00,0.27,81.13,78.69,10.29,5.56,0.00,70.46,83.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
40.00,0.00,23.27,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,17.35,47.33,7.85,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,17.14,56.56,3.52,28.12,15.76,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,85.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.16,10.55,18.94,0.00,0.27,81.87,78.88,10.38,5.40,0.00,70.30,74.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
41.00,0.00,23.43,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,15.12,46.87,7.84,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,17.05,56.08,3.52,28.12,15.74,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,77.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,8.87,10.67,18.94,0.00,0.25,81.96,78.91,10.35,5.39,0.00,69.10,67.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
42.00,0.00,23.23,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.67,45.68,7.84,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.72,54.92,3.52,28.12,15.77,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,69.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.93,11.76,18.94,0.00,0.24,80.91,77.20,10.36,5.44,0.00,66.91,61.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
43.00,0.00,23.16,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,11.81,45.12,7.85,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.60,53.95,3.52,28.12,15.73,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,62.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,10.10,11.67,18.94,0.00,0.22,82.94,77.92,10.76,5.82,0.00,65.22,56.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
44.00,0.00,23.35,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,11.72,43.70,7.87,7.50,15.55,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.56,53.32,3.52,28.12,15.74,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,54.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,10.65,12.34,18.94,0.00,0.20,82.20,77.39,10.71,5.64,0.00,62.77,51.00,0.00,2.64,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
45.00,0.00,23.16,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,12.39,42.25,7.89,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.37,51.64,3.52,28.12,15.74,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,48.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.88,11.61,18.94,0.00,0.17,72.92,71.28,7.92,3.83,0.00,60.57,46.00,0.00,2.68,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
46.00,0.00,23.30,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,12.88,40.83,7.88,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,16.52,50.33,3.52,28.12,15.80,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,42.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.91,11.41,18.94,0.00,0.16,71.74,70.52,8.36,3.72,0.00,60.04,41.00,0.00,2.68,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
47.00,0.00,23.39,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,13.81,37.21,7.88,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,15.65,49.10,3.52,28.12,16.12,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,37.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.77,11.19,18.94,0.00,0.16,63.58,63.14,7.73,3.32,0.00,58.90,38.00,0.00,2.80,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
48.00,0.00,17.31,0.00,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.00,0.00,9.00,0.00,7.80,14.53,35.29,7.88,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.00,15.43,48.63,3.52,28.12,16.10,18.46,0.00,5.70,0.00,0.60,15.55,17.49,17.69,2.00,34.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,9.80,11.34,18.94,0.00,0.14,63.53,61.19,7.51,3.29,0.00,56.29,34.00,0.00,2.84,0.00,0.00,11.00,0.00,17.50,0.00,0.00,0.00
