"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
36.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,95.23,5.13,2.82,163.91,56.52,132.71,44.06,35.37,228.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,173.24,173.19,26.53,67.10,67.88,26.53,184.17,197.14,184.23,0.00,74.91,76.30,52.27,43.64,50.05,30.67,30.56,30.55,48.36,48.39,94.72,94.68,203.20,17.04,20.25
37.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,94.96,5.13,2.82,163.91,56.52,132.71,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,174.94,174.88,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,46.09,40.04,50.05,30.67,30.56,30.55,48.36,48.39,68.64,68.62,203.20,17.04,20.25
38.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,97.79,5.13,2.82,163.91,56.52,132.71,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,178.85,178.77,26.39,67.10,67.88,26.39,184.17,197.14,184.23,0.00,74.91,76.30,53.09,44.14,50.05,30.67,30.56,30.55,48.36,48.39,106.77,106.72,203.20,17.04,20.25
39.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,107.46,5.13,2.82,163.91,56.52,132.71,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,182.32,182.22,28.20,67.10,67.88,28.20,184.17,197.14,184.23,0.00,74.91,76.30,60.51,49.34,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
40.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,113.84,5.13,2.82,163.91,56.52,132.71,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,184.19,184.07,28.95,67.10,67.88,28.95,184.17,197.14,184.23,0.00,74.91,76.30,65.63,53.90,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
41.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,116.41,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,186.19,186.07,34.96,67.10,67.88,24.55,184.17,197.14,184.23,0.00,74.91,76.30,65.99,54.26,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
42.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,104.57,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,182.38,182.28,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,53.51,44.40,50.05,30.67,30.56,30.55,48.36,48.39,108.05,108.00,203.20,17.04,20.25
43.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.26,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,181.11,181.02,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,54.62,45.10,50.05,30.67,30.56,30.55,48.36,48.39,99.43,99.39,203.20,17.04,20.25
44.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,97.03,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,178.15,178.08,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,56.60,46.42,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
45.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,142.31,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,88.47,5.46,19.77,228.46,228.19,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.40,66.56,54.82,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
46.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.08,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,179.08,179.00,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,66.56,54.82,50.05,30.67,30.56,30.55,48.36,48.39,110.26,110.22,203.20,17.04,20.25
47.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,78.95,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,161.61,161.60,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,47.98,41.12,50.05,30.67,30.56,30.55,48.36,48.39,81.09,81.06,203.20,17.04,20.25
48.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,78.95,5.13,2.82,163.91,56.52,132.71,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,153.66,153.66,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,54.61,47.98,41.12,50.05,30.67,30.56,30.55,48.36,48.39,22.86,0.00,203.20,17.04,20.25
