"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
27.00,13.54,20.91,13.46,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.77,12.83,3.10,9.40,15.22,29.01,3.80,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,9.05,22.45,70.50,2.50,0.00,4.00,16.62,109.00,14.49,29.56,0.60,4.00,4.00,5.00,1.15,104.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,16.45,17.70,9.50,1.16,0.70,128.78,115.14,19.41,13.99,78.48,83.43,121.00,0.00,1.12,64.45,175.41,11.00,162.86,17.69,0.39,37.54,86.45
28.00,11.92,20.53,12.05,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.72,11.81,3.10,9.40,16.82,29.75,3.70,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,7.25,22.78,71.00,2.50,0.00,4.00,16.62,109.00,14.49,29.87,0.60,4.00,4.00,5.00,1.15,109.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,16.45,17.70,9.50,0.98,0.70,128.78,115.14,19.41,13.99,78.48,84.63,125.00,0.00,1.12,60.46,180.77,11.00,164.85,17.69,0.39,37.93,87.37
29.00,11.21,20.48,11.15,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,9.68,10.14,3.10,9.40,17.05,32.00,3.70,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,5.15,23.04,71.75,2.50,0.00,4.00,16.62,109.00,14.49,30.18,0.60,4.00,4.00,5.00,1.15,114.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,0.95,0.70,126.18,114.57,18.62,12.85,78.48,85.17,132.00,0.00,1.12,55.06,169.04,11.00,163.35,17.69,0.39,38.33,85.95
30.00,8.89,20.53,9.14,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,8.85,7.93,3.10,9.40,17.87,32.06,0.60,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,3.68,23.33,72.62,2.50,0.00,4.00,16.62,109.00,14.49,25.76,0.60,4.00,4.00,5.00,1.15,119.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,0.89,0.70,126.18,114.57,18.62,12.85,78.48,85.71,140.00,0.00,1.12,48.34,121.41,11.00,157.45,17.69,0.38,32.71,81.41
31.00,7.90,20.19,7.68,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,6.54,5.08,3.10,9.40,18.86,43.26,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,2.49,23.56,73.31,2.50,0.00,4.00,16.62,98.00,14.49,21.33,0.60,4.00,4.00,5.00,1.15,122.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,14.12,16.45,9.50,0.75,0.70,126.10,114.49,18.61,12.85,70.56,86.42,145.00,0.00,1.08,39.67,64.12,11.00,146.43,17.69,0.35,27.09,75.09
32.00,5.03,20.40,5.12,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,4.45,2.87,3.10,9.40,18.61,41.47,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,1.72,23.78,73.90,2.50,0.00,4.00,16.62,77.00,14.49,16.09,0.60,4.00,4.00,5.00,1.15,124.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,11.10,14.12,9.50,0.54,0.64,126.10,114.49,18.61,12.85,55.44,87.02,148.00,0.00,1.12,28.17,36.09,11.00,101.27,17.69,0.30,20.43,46.06
33.00,3.77,20.47,3.15,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,1.07,0.83,3.10,9.40,17.13,42.85,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.56,23.91,74.41,2.50,0.00,4.00,16.62,50.00,14.49,10.85,0.60,4.00,4.00,5.00,1.15,125.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,11.10,14.12,9.50,0.47,0.66,129.18,115.44,19.45,13.99,36.00,87.75,150.00,0.00,1.12,15.92,18.38,11.00,44.32,17.69,0.22,13.78,16.21
34.00,0.82,20.55,0.82,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.17,0.03,3.10,9.40,15.87,43.33,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.06,24.09,75.05,2.50,0.00,4.00,16.62,19.00,14.49,5.70,0.60,4.00,4.00,5.00,1.15,126.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,11.10,14.12,9.50,0.32,0.65,129.18,115.44,19.45,13.99,13.68,88.49,150.00,0.00,1.12,6.06,5.01,11.00,8.74,17.69,0.14,7.24,1.37
35.00,0.36,20.41,0.19,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,14.80,42.63,0.00,6.00,10.00,2.60,16.43,10.00,4.00,6.50,1.40,0.01,24.22,75.29,2.50,0.00,4.00,16.62,2.00,14.49,0.55,0.60,4.00,4.00,5.00,1.15,126.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,8.00,11.10,9.50,0.11,0.65,130.06,116.10,19.53,13.99,1.44,89.25,151.00,0.00,1.20,1.33,0.17,11.00,0.54,17.69,0.05,0.70,0.00
36.00,0.00,20.26,0.00,14.00,4.50,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.00,0.00,3.10,9.40,14.48,45.19,6.30,6.00,15.46,2.60,16.43,10.00,4.00,6.50,1.40,0.00,24.38,75.79,2.50,0.00,4.00,16.62,0.00,14.49,0.28,0.60,4.00,4.00,5.00,1.15,126.00,6.70,5.20,2.00,10.70,7.54,5.50,2.30,8.00,11.10,9.50,0.05,0.65,130.06,116.10,19.53,13.99,0.00,89.71,150.00,0.00,1.20,0.00,0.00,11.00,0.00,17.69,0.02,0.35,0.00
