"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
21.00,17.00,15.55,17.08,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,16.69,16.46,12.68,0.00,5.60,12.09,44.65,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.40,19.71,61.40,2.32,27.00,10.00,14.63,137.22,17.95,38.95,0.60,19.51,19.51,19.51,1.20,56.66,7.80,10.24,3.50,10.80,8.41,3.90,2.40,11.18,13.15,18.00,0.00,0.00,0.90,1.00,56.03,66.38,2.75,4.40,108.21,91.83,62.34,0.30,2.00,79.99,252.40,11.00,204.00,25.00,0.34,47.12
22.00,17.83,14.58,17.95,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,17.32,15.93,12.68,0.00,5.60,11.98,51.88,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.38,20.85,65.41,2.32,27.00,10.00,14.63,138.43,17.95,39.80,0.60,19.51,19.51,19.51,1.20,74.31,7.80,10.24,3.50,10.80,8.41,3.90,2.40,11.85,13.61,18.00,0.00,0.00,0.92,1.00,64.23,74.21,3.45,5.57,109.86,97.18,78.96,0.40,2.00,80.00,252.40,11.00,204.00,25.00,0.34,50.01
23.00,18.43,11.93,18.15,0.00,4.20,8.30,7.20,5.30,1.40,0.00,2.50,0.00,17.77,15.47,12.68,0.00,5.60,12.31,58.75,1.80,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.37,21.93,69.13,2.32,27.00,10.00,14.63,137.31,17.95,39.78,0.60,19.51,19.51,19.51,1.20,90.31,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.42,14.01,18.00,0.00,0.00,0.91,1.00,72.00,81.25,4.08,6.60,109.50,101.21,93.70,0.40,2.00,80.00,252.40,11.00,204.00,25.00,0.34,49.53
24.00,18.68,11.99,18.11,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.41,15.34,12.68,0.00,5.60,13.95,64.54,3.10,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.32,22.84,71.96,2.32,27.00,10.00,14.63,135.56,17.95,39.32,0.60,19.51,19.51,19.51,1.20,101.34,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.69,14.28,18.00,0.00,0.00,0.93,1.00,78.49,85.90,4.46,7.24,109.39,101.31,102.76,0.40,2.00,80.00,252.40,11.00,204.00,25.00,0.35,49.77
25.00,18.54,11.96,17.94,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,16.44,15.34,12.68,0.00,5.60,15.63,69.45,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.30,23.51,74.64,2.32,27.00,10.00,14.63,141.01,17.95,38.75,0.60,19.51,19.51,19.51,1.20,110.44,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.89,14.55,18.00,0.00,0.00,0.92,1.00,84.68,90.23,4.84,7.87,109.45,101.53,110.21,0.40,2.00,80.00,252.40,11.00,204.00,25.00,0.34,49.46
26.00,17.92,12.07,17.40,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,16.43,15.24,12.68,0.00,5.60,17.42,71.69,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.19,23.51,76.86,2.32,27.00,10.00,14.63,142.46,17.95,38.78,0.60,19.51,19.51,19.51,1.20,113.79,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.88,14.83,18.00,0.00,0.00,0.92,1.00,86.53,90.60,3.43,6.42,107.49,102.09,112.82,0.30,2.00,80.00,252.40,11.00,204.00,25.00,0.35,48.91
27.00,16.36,11.93,16.19,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.28,15.03,12.68,0.00,5.60,18.79,73.59,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.85,23.58,78.66,2.32,27.00,10.00,14.63,134.07,17.95,39.68,0.60,19.51,19.51,19.51,1.20,116.93,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.74,14.90,18.00,0.00,0.00,0.92,1.00,79.57,87.52,2.94,5.48,101.85,102.73,115.35,0.20,2.00,80.00,252.40,11.00,204.00,25.00,0.36,46.23
28.00,14.56,12.00,14.89,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.94,15.28,12.68,0.00,5.60,18.95,74.48,3.20,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.92,23.88,79.21,2.32,27.00,10.00,14.63,124.45,17.95,39.79,0.60,19.51,19.51,19.51,1.20,119.46,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.19,14.30,18.00,0.00,0.00,0.77,1.00,85.11,90.53,3.09,5.82,94.86,103.63,117.69,0.20,2.00,80.00,252.40,11.00,204.00,25.00,0.35,42.68
29.00,12.72,11.47,13.60,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,18.11,16.35,12.68,0.00,5.60,19.03,75.24,3.10,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.16,24.19,79.69,2.32,27.00,10.00,14.63,117.52,17.95,38.97,0.60,19.51,19.51,19.51,1.20,121.66,7.80,10.24,3.50,10.80,8.41,3.90,2.40,11.48,13.59,18.00,0.00,0.00,0.75,1.00,89.19,92.99,3.22,6.13,86.53,104.49,120.38,0.10,2.00,80.00,252.40,11.00,204.00,25.00,0.34,45.23
30.00,11.44,10.12,11.92,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.74,16.67,12.68,0.00,5.60,18.92,75.63,0.60,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.13,24.49,79.93,2.32,27.00,10.00,14.63,119.53,17.95,37.89,0.60,19.51,19.51,19.51,1.20,122.86,7.80,10.24,3.50,10.80,8.41,3.90,2.40,10.29,12.54,18.00,0.00,0.00,0.70,1.00,89.75,93.83,3.27,6.21,88.50,105.24,124.14,0.10,2.00,80.00,252.40,11.00,204.00,25.00,0.32,41.55
