"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
21.00,0.00,9.71,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,21.37,56.00,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,21.82,53.60,2.10,26.90,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,70.90,9.80,10.24,3.50,10.80,7.92,5.60,1.20,2.27,1.68,18.90,0.00,0.00,0.00,1.00,71.50,74.00,3.09,4.33,0.00,75.50,58.60,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
22.00,0.00,10.60,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,20.63,52.50,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,20.89,50.10,2.10,26.90,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,61.80,9.80,10.24,3.50,10.80,7.92,5.60,1.20,1.79,1.23,18.90,0.00,0.00,0.00,1.00,67.80,73.20,2.83,3.90,0.00,71.60,48.50,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
23.00,0.00,12.83,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,20.04,48.80,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,19.81,46.40,2.10,27.00,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,55.80,9.80,10.24,3.50,10.80,7.92,5.60,1.20,1.57,1.24,18.90,0.00,0.00,0.00,1.00,63.10,72.50,2.60,3.53,0.00,68.10,41.50,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
24.00,0.00,12.73,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,19.51,45.00,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,18.94,43.60,2.10,27.00,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,52.90,9.80,10.24,3.50,10.80,7.92,5.60,1.20,1.45,1.42,18.90,0.00,0.00,0.00,1.00,58.70,71.40,2.38,3.18,0.00,65.10,36.60,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
25.00,0.00,12.77,0.00,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,18.77,41.20,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,18.14,41.10,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,51.00,9.80,10.24,3.50,10.80,7.92,5.60,1.20,1.78,1.86,18.90,0.00,0.00,0.00,1.00,54.40,70.20,2.10,2.78,0.00,62.30,32.30,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
26.00,0.00,13.23,0.00,14.00,2.90,7.80,5.80,4.90,1.60,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,17.97,39.40,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,17.26,37.70,2.10,27.00,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,46.10,9.80,10.24,3.50,10.80,7.92,5.60,1.20,2.26,2.39,18.90,0.00,0.00,0.00,1.00,50.40,67.60,1.79,2.36,0.00,60.40,29.40,0.00,1.88,0.00,0.00,11.00,0.00,23.00,0.00
27.00,0.00,13.36,0.00,14.00,2.90,7.80,5.80,4.90,1.60,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,17.39,38.40,7.30,0.00,15.41,3.60,17.76,13.85,10.00,13.66,1.40,0.00,16.37,34.10,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,40.40,9.80,10.24,3.50,10.80,7.92,5.60,1.20,3.00,4.15,18.90,0.00,0.00,0.00,1.00,46.50,64.60,1.64,2.14,0.00,58.80,26.80,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
28.00,0.00,14.49,0.00,14.00,2.90,7.80,5.80,4.90,1.60,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,16.88,38.10,7.30,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,15.57,31.20,2.10,26.90,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,32.30,9.80,10.24,3.50,10.80,7.92,5.60,1.20,3.82,6.32,18.90,0.00,0.00,0.00,1.00,41.50,59.70,1.55,1.99,0.00,57.10,21.10,0.00,1.88,0.00,0.00,11.00,0.00,23.00,0.00
29.00,0.00,14.24,0.00,14.00,2.90,7.80,5.80,4.90,1.60,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,17.06,38.00,7.30,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,14.80,28.50,2.10,27.00,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,23.30,9.80,10.24,3.50,10.80,7.92,5.60,1.20,3.93,6.51,18.90,0.00,0.00,0.00,1.00,36.00,54.00,1.39,1.78,0.00,55.30,14.30,0.00,1.88,0.00,0.00,11.00,0.00,23.00,0.00
30.00,0.00,14.21,0.00,14.00,2.90,7.80,5.80,4.90,1.60,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,17.46,38.20,7.30,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,14.16,26.70,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,18.20,9.80,10.24,3.50,10.80,7.92,5.60,1.20,3.80,6.05,18.90,0.00,0.00,0.00,1.00,29.90,49.50,1.21,1.56,0.00,54.40,11.00,0.00,1.84,0.00,0.00,11.00,0.00,23.00,0.00
