"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
31.00,7.37,17.17,7.75,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,11.52,16.51,3.10,6.40,25.03,56.91,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.70,23.64,66.47,2.00,28.12,3.50,11.38,125.00,14.49,29.37,0.60,2.90,3.30,3.40,2.30,99.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.80,14.72,9.50,0.78,0.39,71.96,90.89,13.79,8.98,90.00,81.53,121.00,0.00,1.43,38.78,228.01,10.63,142.72,12.14,0.38,38.91,58.41,13.00
32.00,4.10,17.31,5.19,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,9.65,15.90,3.10,6.40,24.96,58.10,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.06,24.18,68.17,2.00,28.12,3.50,11.37,110.00,14.49,24.48,0.60,2.90,3.30,3.40,2.30,103.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.59,14.66,9.50,0.57,0.39,70.52,92.37,14.11,9.16,79.20,84.27,125.00,0.00,1.53,28.48,218.70,10.63,121.51,12.14,0.33,37.13,50.55,12.61
33.00,2.83,17.28,3.34,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,4.59,14.38,3.10,6.40,24.42,56.51,3.20,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,10.55,23.96,68.42,2.00,28.12,3.50,11.35,85.00,14.49,15.31,0.60,2.90,3.30,3.40,2.30,106.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,13.44,13.86,9.50,0.49,0.40,72.47,91.55,13.77,9.05,61.20,83.46,127.00,0.00,1.64,17.20,180.92,10.63,76.73,12.14,0.26,26.79,32.47,6.70
34.00,1.54,16.98,1.56,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,1.09,9.73,3.10,6.40,23.94,55.54,3.70,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,4.81,24.23,68.03,2.00,28.12,3.50,11.34,49.00,14.49,6.57,0.60,2.90,3.30,3.40,2.30,109.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,13.14,13.76,9.50,0.34,0.40,72.36,91.88,13.30,8.88,35.28,82.98,129.00,0.00,1.74,7.21,91.71,10.63,31.47,12.14,0.16,15.38,14.16,1.57
35.00,0.78,17.11,0.50,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.08,2.43,3.10,6.40,22.90,54.43,7.10,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,0.72,24.09,67.52,2.00,28.12,3.50,11.33,11.00,14.49,1.31,0.60,2.90,3.30,3.40,2.30,109.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,11.92,12.73,9.50,0.12,0.40,70.04,91.86,13.13,8.69,7.92,84.67,127.00,0.00,1.83,1.81,22.09,10.63,6.44,12.14,0.06,4.56,3.39,0.89
36.00,0.00,16.97,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.06,3.10,6.40,22.84,54.04,7.80,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.03,24.25,67.42,2.00,28.12,3.50,11.32,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,108.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,11.54,12.35,9.50,0.06,0.40,64.03,91.04,12.73,8.54,0.00,85.18,124.00,0.00,1.91,0.00,0.89,10.63,0.00,12.14,0.03,0.00,0.00,0.86
37.00,0.00,16.94,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,21.23,48.39,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.23,67.06,2.00,28.12,3.50,11.30,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,106.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.99,11.13,9.50,0.00,0.40,61.24,89.40,12.44,8.40,0.00,84.49,119.00,0.00,1.98,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.18
38.00,0.00,16.40,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,20.10,48.09,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.05,65.05,2.00,28.12,3.50,11.29,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,102.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.63,10.73,9.50,0.00,0.39,58.92,87.91,12.01,8.17,0.00,85.73,113.00,0.00,2.02,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
39.00,0.00,16.78,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,18.68,42.82,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.94,63.98,2.00,28.12,3.50,11.28,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,98.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.18,10.53,9.50,0.00,0.39,56.25,86.81,11.48,7.92,0.00,84.58,107.00,0.00,2.04,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
40.00,0.00,17.07,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,18.45,41.04,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.83,64.11,2.00,28.12,3.50,11.30,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,94.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,8.86,10.46,9.50,0.00,0.39,56.30,86.19,11.27,7.62,0.00,84.10,101.00,0.00,2.03,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
41.00,0.00,17.17,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.49,37.66,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,24.03,62.42,2.00,28.12,3.50,11.30,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,89.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.50,11.00,9.50,0.00,0.39,54.61,86.14,10.68,7.18,0.00,84.58,96.00,0.00,2.01,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
42.00,0.00,17.09,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.33,35.88,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.53,61.43,2.00,28.12,3.50,11.31,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,83.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.50,10.97,9.50,0.00,0.39,54.78,86.00,10.67,6.76,0.00,84.34,92.00,0.00,1.97,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
43.00,0.00,17.28,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.57,34.12,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.86,59.83,2.00,28.12,3.50,11.30,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,78.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.45,11.07,9.50,0.00,0.39,55.74,85.58,10.05,6.58,0.00,84.61,88.00,0.00,1.93,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
44.00,0.00,17.42,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.97,31.80,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,23.11,57.85,2.00,28.12,3.50,11.28,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,74.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.52,11.24,9.50,0.00,0.39,50.50,83.30,9.72,6.27,0.00,83.47,85.00,0.00,1.90,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
45.00,0.00,17.38,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.90,30.47,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,22.88,56.48,2.00,28.12,3.50,11.28,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,70.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.63,11.30,9.50,0.00,0.39,46.40,76.80,7.39,4.26,0.00,80.83,81.00,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
46.00,0.00,17.78,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,0.00,6.40,17.49,28.49,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,22.29,55.74,2.00,28.12,3.50,11.27,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,66.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.51,11.18,9.50,0.00,0.39,43.98,74.62,6.60,3.83,0.00,77.99,78.00,0.00,1.84,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
47.00,0.00,17.80,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,18.17,25.62,7.90,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,21.41,55.49,2.00,28.12,3.50,11.26,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,62.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.28,10.91,9.50,0.00,0.39,44.87,71.61,6.68,3.44,0.00,75.95,75.00,0.00,1.81,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
48.00,0.00,17.91,0.00,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,0.00,0.00,3.10,6.40,18.28,24.24,0.00,3.20,15.46,5.00,9.70,18.74,3.00,4.50,2.80,0.00,21.02,52.69,2.00,28.12,3.50,11.25,0.00,14.49,0.00,0.60,2.90,3.30,3.40,2.30,58.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,9.50,11.04,9.50,0.00,0.39,45.29,65.93,6.05,3.04,0.00,71.97,72.00,0.00,1.77,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
