"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
31.00,0.46,23.36,0.00,13.50,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.34,18.24,0.00,9.60,20.23,48.66,7.13,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.51,19.69,0.00,26.50,19.51,19.32,0.21,18.05,0.00,0.60,20.00,20.00,20.00,1.20,89.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.45,14.04,18.90,0.00,0.00,0.11,1.00,34.07,50.41,2.08,1.64,0.08,51.03,92.00,0.00,2.00,0.31,2.79
32.00,0.00,23.32,0.00,13.50,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,19.75,48.86,7.92,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,4.89,21.10,0.00,26.60,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,87.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.35,14.00,18.90,0.00,0.00,0.05,1.00,34.10,50.69,2.08,1.64,0.00,51.86,88.00,0.00,2.00,0.00,0.00
33.00,0.00,23.20,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,19.02,48.52,7.98,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,5.32,21.86,3.00,26.70,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,84.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.24,14.03,18.90,0.00,0.00,0.00,1.00,34.06,50.96,2.08,1.64,0.00,52.66,83.00,0.00,2.00,0.00,0.00
34.00,0.00,23.32,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,17.54,46.53,8.01,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,5.82,21.95,3.00,26.90,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,80.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.12,14.32,18.90,0.00,0.00,0.00,1.00,34.23,52.40,2.47,1.64,0.00,53.17,74.00,0.00,2.00,0.00,0.00
35.00,0.00,23.25,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,16.22,43.82,8.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,6.31,22.39,3.00,27.00,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,74.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.02,14.55,18.90,0.00,0.00,0.00,1.00,34.48,54.25,2.47,2.24,0.00,53.59,65.00,0.00,2.00,0.00,0.00
36.00,0.00,23.39,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,15.41,38.96,8.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,6.80,23.18,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,69.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.96,14.60,18.90,0.00,0.00,0.00,1.00,36.26,56.41,2.76,2.24,0.00,54.21,55.00,0.00,2.00,0.00,0.00
37.00,0.00,23.37,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,14.66,34.42,8.00,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,7.16,23.41,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,64.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.94,14.67,18.90,0.00,0.00,0.00,1.00,38.56,58.67,2.76,2.24,0.00,54.91,46.00,0.00,2.00,0.00,0.00
38.00,0.00,23.36,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,14.08,30.81,7.99,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,7.37,23.10,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,57.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.08,14.82,18.90,0.00,0.00,0.00,1.00,40.23,59.63,2.76,2.24,0.00,54.52,40.00,0.00,2.00,0.00,0.00
39.00,0.00,23.60,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,13.85,27.86,7.99,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,7.40,22.17,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,50.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,11.06,14.86,18.90,0.00,0.00,0.00,1.00,41.68,60.15,2.76,2.24,0.00,53.76,34.00,0.00,2.00,0.00,0.00
40.00,0.00,23.50,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,14.63,26.88,7.99,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,7.24,20.64,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,43.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.56,14.57,18.90,0.00,0.00,0.00,1.00,41.71,59.13,2.58,2.24,0.00,52.46,29.00,0.00,2.00,0.00,0.00
41.00,0.00,23.42,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,15.24,25.66,7.98,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,7.03,19.32,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,35.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,10.02,14.20,18.90,0.00,0.00,0.00,1.00,41.28,57.60,2.58,0.98,0.00,50.98,25.00,0.00,2.00,0.00,0.00
42.00,0.00,23.39,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,15.31,23.73,7.98,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,6.76,18.20,3.00,27.10,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,26.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,9.34,13.61,18.90,0.00,0.00,0.00,1.00,39.89,56.15,2.58,0.98,0.00,49.48,21.00,0.00,2.00,0.00,0.00
43.00,0.00,23.45,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,15.41,21.84,5.75,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,6.50,17.13,3.00,27.20,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,16.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,8.75,12.96,18.90,0.00,0.00,0.00,1.00,38.19,54.74,2.58,0.98,0.00,47.97,16.00,0.00,2.00,0.00,0.00
44.00,0.00,23.49,0.00,14.00,4.20,7.10,6.30,12.10,2.40,0.70,3.50,0.00,0.00,0.00,18.24,0.00,9.60,15.57,20.06,4.98,9.90,15.02,4.60,19.32,19.32,8.00,12.68,2.80,0.00,6.24,16.10,3.00,27.30,19.51,19.32,0.00,18.05,0.00,0.60,20.00,20.00,20.00,1.20,13.00,12.88,10.00,0.00,5.00,10.70,0.00,17.56,1.20,8.41,12.15,18.90,0.00,0.00,0.00,1.00,35.21,51.97,2.58,0.98,0.00,47.02,14.00,0.00,2.00,0.00,0.00
