Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Considera en Escenario?,Tensi?n,Tensión de Operación,Estado
167,SAN MIGUEL 220,2038,1,0,0,0,0,0,0,0,0,,220,,1
168,SAN MIGUEL 60,2039,1,0,0,0,0,0,0,0,0,,60,,1
169,FELAM 220,2040,1,0,0,0,0,0,0,0,0,,220,,1
170,MANCHAY 60,2086,1,0,0,0,0,0,0,0,0,,60,,1
171,MANCHAY 220,2087,1,0,0,0,0,0,0,0,0,,220,,1
172,SAN RAFAEL 138,2094,1,0,0,0,0,0,0,0,0,,138,,1
173,SAN GABAN 138,2095,1,0,0,0,0,0,0,0,0,,138,,1
174,MARCONA 60 B,2096,1,0,0,0,0,0,0,0,0,,60,,1
175,ANGEL 138,2101,1,0,0,0,0,0,0,0,0,,138,,1
176,PTO MALDONADO 138,2120,1,0,0,0,0,0,0,0,0,,138,,1
177,MEDIO MUNDO 220,2137,1,0,0,0,0,0,0,0,0,,220,,1
178,AUCAYACU 138,2140,1,0,0,0,0,0,0,0,0,,138,,1
179,BELLAVISTA 138,2141,1,0,0,0,0,0,0,0,0,,138,,1
180,TARAPOTO 138,2142,1,0,0,0,0,0,0,0,0,,138,,1
181,PARINAS 220,2152,1,0,0,0,0,0,0,0,0,,220,,1
182,PAMPA HONDA 220,2156,1,0,0,0,0,0,0,0,0,,220,,1
183,ORCOTUNA 220,2169,1,0,0,0,0,0,0,0,0,,220,,1
184,SAN ROMAN 138,2170,1,0,0,0,0,0,0,0,0,,138,,1
185,SAN ROMAN 220,2171,1,0,0,0,0,0,0,0,0,,220,,1
186,CHILOTA 220,2172,1,0,0,0,0,0,0,0,0,,220,,1
187,MAZUCO 138,2173,1,0,0,0,0,0,0,0,0,,138,,1
188,JESUS 138,2174,1,0,0,0,0,0,0,0,0,,138,,1
189,CARHUAMAYO 138,2175,1,0,0,0,0,0,0,0,0,,138,,1
190,CINCO MANANTIALES 138,2176,1,0,0,0,0,0,0,0,0,,138,,1
191,OXIDOS CERRO 138,2177,1,0,0,0,0,0,0,0,0,,138,,1
192,TOCACHE 138,2178,1,0,0,0,0,0,0,0,0,,138,,1
193,JUANJUI 138,2179,1,0,0,0,0,0,0,0,0,,138,,1
194,FRANCOISE 220,2180,1,0,0,0,0,0,0,0,0,,220,,1
