15,19,22,4,2,0,0,
16,19,28,19,2,0,0,
36,4,50,4,2,0,0,
37,4,22,19,2,0,0,
38,4,40,4,2,0,0,
18,19,14,19,2,0,0,
19,19,15,19,2,0,0,
20,19,16,19,2,0,0,
21,19,12,19,2,0,0,
23,19,33,4,2,0,0,
27,19,15,19,2,0,0,
29,19,14,19,2,0,0,
30,19,38,4,2,0,0,
32,19,23,4,2,0,0,
33,19,36,19,2,0,0,
40,4,1,19,2,0,0,
43,4,2,19,2,0,0,
44,4,2,19,2,0,0,
45,4,2,19,2,0,0,
46,4,2,19,2,0,0,
53,4,3,4,2,0,0,
54,4,3,4,2,0,0,
56,4,50,4,2,0,0,
57,4,50,4,2,0,0,
58,4,50,4,2,0,0,
36,19,34,19,2,0,0,
59,4,22,19,2,0,0,
60,4,22,19,2,0,0,
61,4,35,19,2,0,0,
62,4,35,19,2,0,0,
1,3,4,3,3,0,0,
1,3,7,3,3,0,0,
1,3,9,3,3,0,0,
1,3,10,3,3,0,0,
2,3,5,3,3,0,0,
2,3,7,3,3,0,0,
2,3,8,3,3,0,0,
2,3,10,3,3,0,0,
3,3,6,3,3,0,0,
3,3,8,3,3,0,0,
3,3,9,3,3,0,0,
3,3,10,3,3,0,0,
4,3,7,3,3,0,0,
4,3,9,3,3,0,0,
4,3,10,3,3,0,0,
5,3,7,3,3,0,0,
5,3,8,3,3,0,0,
5,3,10,3,3,0,0,
6,3,8,3,3,0,0,
6,3,9,3,3,0,0,
6,3,10,3,3,0,0,
7,3,10,3,3,0,0,
8,3,10,3,3,0,0,
9,3,10,3,3,0,0,
11,3,14,3,3,0,0,
11,3,17,3,3,0,0,
11,3,19,3,3,0,0,
11,3,20,3,3,0,0,
12,3,15,3,3,0,0,
12,3,17,3,3,0,0,
12,3,18,3,3,0,0,
12,3,20,3,3,0,0,
13,3,16,3,3,0,0,
13,3,18,3,3,0,0,
13,3,19,3,3,0,0,
13,3,20,3,3,0,0,
14,3,17,3,3,0,0,
14,3,19,3,3,0,0,
14,3,20,3,3,0,0,
15,3,17,3,3,0,0,
15,3,18,3,3,0,0,
15,3,20,3,3,0,0,
16,3,18,3,3,0,0,
16,3,19,3,3,0,0,
16,3,20,3,3,0,0,
17,3,20,3,3,0,0,
18,3,20,3,3,0,0,
19,3,20,3,3,0,0,
31,3,33,3,3,0,0,
31,3,35,3,3,0,0,
31,3,36,3,3,0,0,
31,3,38,3,3,0,0,
32,3,34,3,3,0,0,
32,3,35,3,3,0,0,
32,3,37,3,3,0,0,
32,3,38,3,3,0,0,
33,3,35,3,3,0,0,
33,3,38,3,3,0,0,
34,3,35,3,3,0,0,
34,3,38,3,3,0,0,
36,3,38,3,3,0,0,
37,3,38,3,3,0,0,
44,3,83,3,3,0,0,
52,3,53,3,3,0,0,
52,3,56,3,3,0,0,
53,3,56,3,3,0,0,
54,3,55,3,3,0,0,
54,3,56,3,3,0,0,
55,3,56,3,3,0,0,
72,3,71,3,3,0,0,
84,3,62,3,3,0,0,
84,3,86,3,3,0,0,
85,3,62,3,3,0,0,
85,3,87,3,3,0,0,
