ETAPA \ GENERADOR,MAJES,CARPAPATA,REPARTICION,PARAMONGA,HUAYCOLORO,LA JOYA,STACRUZ12,HUASAHUASI,RONCADOR,PURMACANA,NIMPERIAL,MAPLE,TACNASOLAR,PANAMERICANASOLAR,PIZARRAS,PIAS,POECHOS2,PE TALARA,PE CUPISNIQUE,ELOR,CURUMUY,POECHOS1,CANCHAYLLO,CHANCAY,RUCUY,RUNATULLOII,RUNATULLOIII,LAGRINGAV,MOQUEGUASOLAR,PQEEOLICOMARCONA,PQEEOLICO3HERMANAS,YANAPAMPA,TABLAZO,POTRERO,CH MARANON,CS RUBI,YARUCAYA,INTIPAMPA,CHHER1,CHANGELI,CHANGELII,CHANGELIII,CTB DONA CATALINA,WAYRAI,CHZANA,8AGOSTO,RENOVANDESH1,EL CARMEN,CT CANA BRAVA,CT SAN JACINTO,CH MANTA,CTB CALLAO,HUAMBOS,DUNA,CT TALLANCA,SANTA ROSA 1,SANTA ROSA 2,CSF YARUCAYA,TUPURI,CE PUNTA LOMITASBL1,CE PUNTA LOMITASBL2,PTALOMITASEXPBL1,PTALOMITASEXPBL2,CSCLEMESI,PE SAN JUAN,WAYRAEXP,CS CARHUAQUERO,CH HUALLIN,CS MATARANI,CS SAN MARTIN
34,1.31,23.45,0.41,14,4.2,8.4,9.7,19.22,0,0,3.5,0,1.99,4.19,17.56,0,8,4.03,53.3,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,3.06,23.5,74.2,3.1,0,19.51,19.32,0.9,9.2,10.27,0.6,20,19.51,19.51,2.4,113.5,12.88,20.49,19.51,8,0,0,17.56,1.2,8.86,8.63,9,0,0,0.28,1,66.6,81,7.6,7.33,1.1,106.24,108.2,0.1,2,11.21,16.41
35,0.43,23.45,0.1,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0.15,0.56,17.56,0,8,4.31,55.2,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0.21,23.3,72.6,3.1,0,19.51,19.32,0,9.2,1.26,0.6,20,19.51,19.51,2.4,112.9,12.88,20.49,19.51,8,0,0,17.56,1.2,8.13,7.66,9,0,0,0.1,1,65.5,81.4,6.72,6.72,0,105.13,100,0,2,2.38,1.89
36,0,23.56,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0.01,17.56,0,8,4.87,54.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,23,70.2,3.1,0,19.51,19.32,0,9.2,0.01,0.6,20,19.51,19.51,2.4,109.5,12.88,20.49,19.51,8,0,0,17.56,1.2,6.88,7.02,9,0,0,0.05,1,64.3,81.1,6.22,5.71,0,103.21,86.8,0,2,0.1,1.89
37,0,23.57,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,5.19,52.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,22.5,67.4,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,105.2,12.88,20.49,19.51,8,0,0,17.56,1.2,5.93,6.48,9,0,0,0,1,63.1,80.5,5.76,4.87,0,101.59,71.8,0,2,0,0
38,0,23.48,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,4.74,48,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,21.9,64.1,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,95.3,12.88,20.49,19.51,8,0,0,17.56,1.2,5.89,6.23,9,0,0,0,1,60.4,78.3,5.43,4.56,0,100.85,54.6,0,2,0,0
39,0,23.69,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,4.45,43.3,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,21.2,60.7,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,83.5,12.88,20.49,19.51,8,0,0,17.56,1.2,5.93,6.36,9,0,0,0,1,57.4,75.6,5.14,4.22,0,99.36,36.5,0,2,0,0
40,0,23.65,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,4.6,39.6,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,20.2,57.9,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,73.7,12.88,20.49,19.51,8,0,0,17.56,1.2,6.19,7.67,9,0,0,0,1,53.9,72.4,4.98,3.81,0,95.66,26.4,0,2,0,0
41,0,23.68,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,4.81,36.2,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,19.1,55.3,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,64.6,12.88,20.49,19.51,8,0,0,17.56,1.2,6.44,8.86,9,0,0,0,1,50.4,69.2,4.83,3.45,0,91.67,18.9,0,2,0,0
42,0,23.62,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,5.24,33.4,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,18.1,52.6,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,54.8,12.88,20.49,19.51,8,0,0,17.56,1.2,6.65,9.67,9,0,0,0,1,46.6,66.1,4.68,3.24,0,86.82,13.8,0,2,0,0
43,0,23.8,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,5.65,30.8,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,17.1,49.8,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,44.8,12.88,20.49,19.51,8,0,0,17.56,1.2,6.92,10.45,9,0,0,0,1,42.6,62.9,4.45,3,0,82.97,9.6,0,2,0,0
44,0,23.56,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,6.02,31,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,16.4,47.8,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,38.1,12.88,20.49,19.51,8,0,0,17.56,1.2,7.4,11.11,9,0,0,0,1,40,61,4.03,2.66,0,82.17,7.5,0,2,0,0
45,0,23.54,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,6.29,32.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,15.9,46.2,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,32.5,12.88,20.49,19.51,8,0,0,17.56,1.2,7.88,11.73,9,0,0,0,1,37.7,59.5,3.65,2.36,0,81.11,6.2,0,2,0,0
46,0,23.75,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,6.21,31.8,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,15.6,44.8,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,26.8,12.88,20.49,19.51,8,0,0,17.56,1.2,8.31,12.26,9,0,0,0,1,35.3,57.7,3.41,2.17,0,79.28,5.1,0,2,0,0
47,0,23.85,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,6.13,31,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,15.5,43.6,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,21.1,12.88,20.49,19.51,8,0,0,17.56,1.2,8.66,12.69,9,0,0,0,1,32.8,55.8,3.11,1.92,0,77.29,4,0,2,0,0
48,0,23.59,0,14,4.2,8.4,9.7,19.22,0,0,3.5,0,0,0,17.56,0,8,6.09,29.1,8,10.54,13.95,4.9,19.32,19.32,19.51,19.51,0,0,15.2,42.8,3.1,0,19.51,19.32,0,9.2,0,0.6,20,19.51,19.51,2.4,16.2,12.88,20.49,19.51,8,0,0,17.56,1.2,8.72,12.86,9,0,0,0,1,30.9,54.2,2.64,1.49,0,74.86,3.3,0,2,0,0
