"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
32.00,6.54,23.68,4.24,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,17.67,13.80,17.49,0.00,8.80,17.11,39.42,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,8.81,10.44,36.12,3.20,25.00,19.44,18.17,50.36,17.88,5.70,0.00,19.44,19.44,19.44,1.20,117.62,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.40,3.59,19.00,0.36,1.00,26.01,35.57,1.57,2.60,39.65,49.94,123.45,0.10,2.00,73.38,204.92,11.00,140.79,22.00,0.13,4.33
33.00,3.75,23.64,2.66,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,15.10,12.82,17.49,0.00,8.80,16.54,39.73,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,8.18,10.27,36.55,3.20,24.60,19.44,18.17,36.17,17.88,3.96,0.00,19.44,19.44,19.44,1.20,119.70,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.58,3.69,19.00,0.31,1.00,27.99,38.03,1.61,2.58,28.20,51.87,128.10,0.10,2.00,66.20,164.58,11.00,132.78,22.00,0.09,3.49
34.00,1.86,23.78,1.37,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,7.42,11.11,17.49,0.00,8.80,14.73,38.90,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,5.86,10.22,37.10,3.20,24.60,19.44,18.17,19.41,17.88,2.53,0.00,19.44,19.44,19.44,1.20,119.39,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.45,3.19,19.00,0.21,1.00,32.49,43.01,1.58,2.64,17.66,51.56,125.52,0.10,2.00,34.43,91.33,11.00,87.23,22.00,0.06,3.89
35.00,0.63,23.75,0.38,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.95,7.37,17.49,0.00,8.80,12.95,37.53,7.50,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,2.73,10.28,37.62,3.20,24.90,19.44,18.17,9.85,17.88,1.29,0.00,19.44,19.44,19.44,1.20,118.83,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.33,2.76,19.00,0.07,1.00,35.80,47.35,1.51,2.58,9.32,51.83,122.21,0.00,2.00,14.09,35.12,11.00,31.07,22.00,0.03,4.29
36.00,0.09,23.96,0.02,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,3.09,17.49,0.00,8.80,11.24,34.52,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,1.06,10.70,38.02,3.20,24.80,19.44,18.17,4.20,17.88,0.40,0.00,19.44,19.44,19.44,1.20,117.53,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.25,2.52,19.00,0.04,1.00,35.53,49.76,1.35,2.15,3.59,53.85,116.71,0.00,2.00,5.17,12.99,11.00,10.14,22.00,0.02,2.29
37.00,0.00,23.89,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.84,17.49,0.00,8.80,9.68,31.57,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.22,10.91,37.91,3.20,24.60,19.44,18.17,0.97,17.88,0.06,0.00,19.44,19.44,19.44,1.20,115.88,12.83,19.44,8.00,10.70,0.00,17.49,2.40,3.14,2.23,19.00,0.00,1.00,35.02,51.77,1.21,1.81,0.79,55.35,111.03,0.00,2.00,1.45,3.17,11.00,2.25,22.00,0.00,0.29
38.00,0.00,23.66,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,8.61,28.79,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,10.47,36.26,3.20,24.90,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,113.19,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.93,1.83,19.00,0.00,1.00,33.75,52.57,1.13,1.73,0.00,55.32,104.78,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.15
39.00,0.00,23.87,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,7.65,26.45,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,10.17,34.71,3.20,25.10,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,108.57,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.67,1.48,19.00,0.00,1.00,32.75,52.66,1.05,1.65,0.00,55.03,97.57,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
40.00,0.00,23.87,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,7.07,25.43,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,10.31,33.47,3.20,25.20,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,98.15,12.83,19.44,8.00,10.70,0.00,17.49,2.40,2.20,1.29,19.00,0.00,1.00,32.52,50.63,0.98,1.57,0.00,53.99,87.44,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
41.00,0.00,23.87,0.00,0.00,2.90,0.00,12.24,19.14,3.71,0.40,3.40,16.00,0.00,0.00,17.49,0.00,8.80,6.63,24.73,8.00,10.11,15.16,5.00,19.24,19.24,19.44,19.44,1.40,0.00,10.48,32.29,3.20,25.20,19.44,18.17,0.00,17.88,0.00,0.00,19.44,19.44,19.44,1.20,87.25,12.83,19.44,8.00,10.70,0.00,17.49,2.40,1.82,1.14,19.00,0.00,1.00,32.01,48.87,0.92,1.47,0.00,53.03,77.07,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
