"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
23.00,0.00,19.98,0.00,15.56,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.20,7.20,30.86,66.59,11.45,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,21.48,70.13,2.30,27.90,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,108.64,4.50,4.00,1.50,10.43,8.38,3.80,1.15,12.39,11.86,9.50,0.00,0.55,56.29,76.84,8.82,6.51,0.00,81.00,119.88,0.00,1.20,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
24.00,0.00,20.18,0.00,15.56,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.86,67.48,7.97,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,21.72,70.08,2.30,28.00,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,105.80,4.50,4.00,1.50,10.43,8.38,3.80,1.15,12.29,11.72,9.50,0.00,0.55,57.13,77.90,8.93,6.71,0.00,81.70,116.48,0.00,1.22,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
25.00,0.00,20.24,0.00,15.46,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.86,68.38,7.96,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,21.67,70.44,2.30,28.00,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.96,4.50,4.00,1.50,10.43,8.38,3.80,1.15,11.98,11.54,9.50,0.00,0.55,56.34,79.37,9.07,6.74,0.00,83.33,116.09,0.00,1.24,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
26.00,0.00,20.48,0.00,15.46,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.86,69.27,7.95,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,21.94,70.90,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.12,4.50,4.00,1.50,10.43,8.38,3.80,1.15,12.28,11.76,9.50,0.00,0.55,54.23,78.79,9.19,6.97,0.00,84.82,117.70,0.00,1.24,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
27.00,0.00,20.22,0.00,15.36,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.45,70.16,7.93,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,22.36,71.66,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.27,4.50,4.00,1.50,10.43,8.38,3.80,1.15,11.24,11.09,9.50,0.00,0.55,57.21,80.92,9.28,6.86,0.00,86.78,120.31,0.00,1.25,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
28.00,0.00,20.20,0.00,14.98,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.41,71.06,7.89,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,22.54,72.52,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.43,4.50,4.00,1.50,10.43,8.38,3.80,1.15,10.84,10.88,9.50,0.00,0.55,57.18,81.26,9.33,6.96,0.00,87.17,123.92,0.00,1.24,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
29.00,0.00,20.72,0.00,0.00,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,5.10,7.20,28.37,69.95,7.61,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,22.75,73.98,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.59,4.50,4.00,1.50,10.43,8.38,3.80,1.15,10.96,11.02,9.50,0.00,0.55,58.90,78.40,9.05,6.51,0.00,87.63,125.53,0.00,1.24,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
30.00,0.00,20.71,0.00,0.00,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,5.10,7.20,28.33,70.85,0.00,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,22.94,75.43,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,103.74,4.50,4.00,1.50,10.43,8.38,3.80,1.15,10.90,11.16,9.50,0.00,0.55,59.21,79.19,8.95,6.55,0.00,88.10,127.13,0.00,1.22,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
31.00,0.00,20.71,0.00,0.00,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,5.10,7.20,25.29,71.74,0.00,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,23.16,77.19,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,102.90,4.50,4.00,1.50,10.43,8.38,3.80,1.15,10.73,10.81,8.80,0.00,0.55,59.80,82.64,9.24,6.81,0.00,87.22,128.74,0.00,1.20,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
32.00,0.00,23.78,0.00,0.00,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,5.10,7.20,25.25,72.64,0.00,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,23.75,78.95,2.30,28.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,102.06,4.50,4.00,1.50,10.43,8.38,3.80,1.15,11.04,11.02,9.50,0.00,0.55,60.45,81.69,9.51,7.16,0.00,89.20,131.35,0.00,1.18,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
