"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
21.00,8.71,18.01,0.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,2.03,9.94,7.00,0.00,10.00,16.60,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,6.34,18.50,59.20,2.30,26.10,5.70,13.11,41.27,17.86,0.00,0.60,5.00,5.20,5.20,2.40,98.20,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.65,17.00,18.90,0.00,0.00,0.47,1.00,62.60,76.80,6.70,6.30,39.04,83.80,98.80,0.10,1.44,22.70,138.44,6.00
22.00,6.94,17.32,0.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,0.05,4.21,7.00,0.00,10.00,15.80,0.00,2.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,1.37,19.00,59.40,2.30,26.30,5.70,13.11,10.73,17.86,0.00,0.60,5.00,5.20,5.20,2.40,98.60,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.47,16.89,18.90,0.00,0.00,0.33,1.00,64.20,78.30,6.60,5.80,11.86,84.90,97.80,0.10,1.48,6.43,61.21,6.00
23.00,1.76,17.34,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.60,7.00,0.00,10.00,14.80,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.02,19.60,59.80,2.30,26.40,5.70,13.11,0.75,17.86,0.00,0.60,5.00,5.20,5.20,2.40,94.00,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.20,16.75,18.90,0.00,0.00,0.11,1.00,65.20,79.40,6.40,5.20,0.88,86.10,92.10,0.00,1.51,0.53,15.28,6.00
24.00,0.00,18.02,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,14.00,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,20.20,59.70,2.30,26.60,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,88.30,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,14.68,16.53,18.90,0.00,0.00,0.05,1.00,64.80,80.20,6.00,4.70,0.00,86.70,85.50,0.00,1.56,0.00,2.85,6.00
25.00,0.00,18.14,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,13.20,20.00,6.70,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,20.70,59.40,2.30,26.80,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,79.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,14.22,16.32,18.90,0.00,0.00,0.00,1.00,63.80,80.90,5.50,4.20,0.00,87.20,75.90,0.00,1.54,0.00,0.00,6.00
26.00,0.00,17.95,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,12.50,35.00,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,20.40,57.30,2.30,27.00,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,70.90,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,13.88,16.16,18.90,0.00,0.00,0.00,1.00,61.60,80.50,5.10,3.70,0.00,86.20,66.20,0.00,1.59,0.00,0.00,6.00
27.00,0.00,17.98,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,12.00,37.50,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,19.70,54.60,2.30,27.10,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,65.20,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,13.44,15.94,18.90,0.00,0.00,0.00,1.00,59.00,79.80,4.70,3.30,0.00,84.70,56.00,0.00,1.56,0.00,0.00,6.00
28.00,0.00,17.80,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,11.80,34.90,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,19.40,52.20,2.30,27.10,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,59.50,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,12.67,15.50,18.90,0.00,0.00,0.00,1.00,55.20,78.30,4.50,3.00,0.00,83.40,47.10,0.00,1.52,0.00,0.00,6.00
29.00,0.00,17.99,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,11.70,32.50,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,19.10,50.00,2.30,27.10,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,54.00,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,11.88,15.04,18.90,0.00,0.00,0.00,1.00,51.00,76.50,4.40,2.70,0.00,82.10,42.60,0.00,1.54,0.00,0.00,6.00
30.00,0.00,18.56,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,11.60,29.90,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,17.90,46.40,2.30,27.10,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,47.70,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,11.05,14.51,18.90,0.00,0.00,0.00,1.00,46.80,71.80,3.90,2.30,0.00,79.20,37.50,0.00,1.58,0.00,0.00,6.00
31.00,0.00,19.14,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,11.70,27.30,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,16.40,42.40,2.30,27.20,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,39.40,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,10.33,14.08,18.90,0.00,0.00,0.00,1.00,42.70,66.20,3.30,1.80,0.00,75.80,30.80,0.00,1.51,0.00,0.00,6.00
32.00,0.00,18.93,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,12.10,23.60,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,15.80,39.80,2.30,27.20,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,31.50,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,9.96,13.96,18.90,0.00,0.00,0.00,1.00,38.70,60.20,2.70,1.40,0.00,72.30,25.00,0.00,1.50,0.00,0.00,6.00
33.00,0.00,19.03,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,12.60,19.70,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,15.40,37.50,2.30,27.20,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,24.70,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,9.75,13.90,18.90,0.00,0.00,0.00,1.00,34.90,53.90,2.30,1.10,0.00,68.60,21.60,0.00,1.48,0.00,0.00,6.00
34.00,0.00,19.07,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,4.00,0.00,10.00,13.40,16.10,8.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,14.60,35.60,2.30,27.10,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,17.80,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,10.04,13.99,18.90,0.00,0.00,0.00,1.00,31.30,50.50,1.90,1.10,0.00,66.00,17.50,0.00,1.46,0.00,0.00,6.00
35.00,0.00,19.09,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,14.30,12.80,5.30,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,13.50,33.70,2.30,27.30,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,11.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,10.29,14.09,18.90,0.00,0.00,0.00,1.00,27.90,48.10,1.50,1.10,0.00,63.70,11.00,0.00,1.44,0.00,0.00,6.00
36.00,0.00,18.74,0.00,14.00,4.20,0.00,3.00,4.90,3.10,0.40,3.40,14.00,0.00,0.00,7.00,0.00,10.00,15.30,12.30,0.70,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,0.00,12.50,30.70,2.30,27.20,5.70,13.11,0.00,17.86,0.00,0.60,5.00,5.20,5.20,2.40,5.60,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,10.44,14.22,18.90,0.00,0.00,0.00,1.00,23.90,45.80,1.20,0.80,0.00,60.30,5.80,0.00,1.43,0.00,0.00,6.00
