"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
29.00,10.25,23.82,8.64,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,2.98,12.56,17.49,0.00,8.40,10.67,65.83,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,8.15,24.96,85.29,3.10,25.00,19.44,18.17,72.33,17.88,11.86,0.60,19.44,19.44,19.44,2.40,104.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.51,15.81,0.00,0.00,0.00,0.69,1.00,86.31,103.24,3.21,8.52,61.19,104.46,104.00,0.10,2.00,55.87,166.33,11.00,124.53,22.00,0.24,15.55
30.00,8.24,23.71,5.61,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,1.14,11.30,17.49,0.00,8.40,11.72,66.13,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,6.85,24.83,85.60,3.10,25.00,19.44,18.17,62.62,17.88,9.18,0.60,19.44,19.44,19.44,2.40,106.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.21,15.68,0.00,0.00,0.00,0.65,1.00,100.68,101.92,3.66,8.73,54.24,103.52,106.00,0.10,2.00,48.71,138.97,11.00,101.06,22.00,0.21,13.11
31.00,6.34,23.71,2.37,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.29,10.19,17.49,0.00,8.40,12.10,64.24,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,5.74,24.70,85.59,3.10,25.20,19.44,18.17,52.16,17.88,7.50,0.60,19.44,19.44,19.44,2.40,109.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.87,15.52,0.00,0.00,0.00,0.54,1.00,104.53,103.88,3.89,8.89,47.79,102.61,109.00,0.10,2.00,39.92,118.20,11.00,78.75,22.00,0.18,10.66
32.00,4.53,23.77,0.53,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.05,8.73,17.49,0.00,8.40,12.27,61.62,4.80,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,4.39,24.59,85.26,3.10,25.30,19.44,18.17,43.15,17.88,5.61,0.60,19.44,19.44,19.44,2.40,111.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.51,15.35,0.00,0.00,0.00,0.39,1.00,109.71,106.95,4.52,9.25,39.71,101.71,111.00,0.10,2.00,33.14,86.09,11.00,54.34,22.00,0.14,8.86
33.00,2.86,23.64,0.04,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.01,6.89,17.49,0.00,8.40,12.69,59.86,4.70,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,3.38,24.61,85.22,3.10,25.40,19.44,18.17,29.75,17.88,3.95,0.60,19.44,19.44,19.44,2.40,113.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,12.82,14.85,0.00,0.00,0.00,0.34,1.00,110.68,108.12,5.81,10.23,27.03,101.10,113.00,0.10,2.00,22.60,58.55,11.00,33.43,22.00,0.10,7.06
34.00,1.68,23.95,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,4.61,17.49,0.00,8.40,13.20,58.39,4.70,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,1.83,24.75,85.46,3.10,25.30,19.44,18.17,15.74,17.88,2.32,0.60,19.44,19.44,19.44,2.40,114.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,12.03,14.25,0.00,0.00,0.00,0.23,1.00,108.57,107.23,5.83,10.11,15.22,100.49,114.00,0.00,2.00,11.59,29.76,11.00,16.84,22.00,0.06,7.45
35.00,0.81,23.71,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,2.04,17.49,0.00,8.40,13.02,57.70,5.40,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,0.53,24.89,85.43,3.10,25.40,19.44,18.17,5.40,17.88,0.83,0.60,19.44,19.44,19.44,2.40,113.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,10.86,13.37,0.00,0.00,0.00,0.08,1.00,106.71,106.51,5.69,9.70,4.98,100.07,113.00,0.00,2.00,3.25,8.84,11.00,6.48,22.00,0.03,7.84
36.00,0.31,23.68,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.72,17.49,0.00,8.40,12.61,57.26,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.10,25.03,85.13,3.10,25.50,19.44,18.17,1.76,17.88,0.16,0.60,19.44,19.44,19.44,2.40,111.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.57,12.41,0.00,0.00,0.00,0.04,1.00,104.93,105.85,5.50,9.20,1.40,99.64,111.00,0.00,2.00,0.88,2.41,11.00,1.93,22.00,0.02,4.18
37.00,0.04,23.76,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.07,17.49,0.00,8.40,11.66,56.43,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.21,85.02,3.10,25.60,19.44,18.17,0.17,17.88,0.01,0.60,19.44,19.44,19.44,2.40,106.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.88,11.74,19.00,0.00,0.00,0.00,1.00,102.74,104.21,5.09,8.27,0.10,99.64,106.00,0.00,2.00,0.05,0.12,11.00,0.14,22.00,0.00,0.52
38.00,0.00,23.78,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,10.53,55.46,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.43,85.11,3.10,25.70,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,99.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.38,11.17,19.00,0.00,0.00,0.00,1.00,100.42,102.23,4.60,7.19,0.00,99.64,99.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.26
39.00,0.00,23.63,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,9.85,52.92,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.53,84.83,3.10,25.80,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,92.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,8.74,11.89,19.00,0.00,0.00,0.00,1.00,96.72,99.95,4.31,6.50,0.00,99.43,92.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
40.00,0.00,23.78,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,9.33,49.86,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.54,84.19,3.10,25.90,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,84.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.39,13.03,19.00,0.00,0.00,0.00,1.00,92.56,97.57,4.07,5.94,0.00,99.22,84.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
41.00,0.00,23.89,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,9.21,46.27,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.45,83.29,3.10,26.00,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,77.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.54,13.28,18.90,0.00,0.00,0.00,1.00,90.43,95.78,3.87,5.43,0.00,97.96,77.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
42.00,0.00,23.74,0.00,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,9.22,42.52,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.28,82.15,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,69.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.54,13.21,18.90,0.00,0.00,0.00,1.00,88.98,94.19,3.67,4.95,0.00,96.71,69.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
43.00,0.00,23.69,0.00,14.00,4.20,6.70,12.05,18.85,3.68,0.40,3.40,19.00,0.00,0.00,17.49,0.00,8.40,8.80,38.85,8.00,10.00,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.00,25.00,80.59,3.10,26.10,19.44,18.17,0.00,17.88,0.00,0.60,19.44,19.44,19.44,2.40,62.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,9.41,13.01,18.90,0.00,0.00,0.00,1.00,85.28,91.36,3.34,4.37,0.00,94.72,62.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
