"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
35.00,0.10,21.09,0.00,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,0.02,9.00,0.00,10.00,25.80,61.96,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,10.67,37.23,2.20,27.10,14.56,19.11,0.02,17.96,0.00,0.60,5.00,5.50,5.50,1.20,110.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.06,17.03,18.90,0.00,0.00,0.11,1.00,31.19,47.70,3.22,2.67,0.03,65.26,110.00,0.00,1.40,0.02,2.21,0.00
36.00,0.00,21.21,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,25.74,61.70,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,11.20,38.45,2.20,27.10,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,111.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,14.48,16.67,18.90,0.00,0.00,0.05,1.00,33.67,51.58,3.17,2.56,0.00,66.91,111.00,0.00,1.50,0.00,0.00,0.00
37.00,0.00,20.83,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,25.02,60.97,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,11.74,39.63,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,109.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,13.85,16.33,18.90,0.00,0.00,0.00,1.00,36.46,54.02,3.13,2.33,0.00,68.54,105.00,0.00,1.49,0.00,0.00,0.00
38.00,0.00,20.62,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,24.07,60.09,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.29,40.77,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,105.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,13.21,16.00,18.90,0.00,0.00,0.00,1.00,39.35,55.97,3.09,2.06,0.00,70.18,93.00,0.00,1.52,0.00,0.00,0.00
39.00,0.00,20.88,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,23.33,57.86,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.77,41.44,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,96.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,12.53,15.52,18.90,0.00,0.00,0.00,1.00,39.88,56.67,3.21,2.00,0.00,69.90,80.00,0.00,1.52,0.00,0.00,0.00
40.00,0.00,21.19,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,22.67,55.18,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,13.16,41.62,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,83.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.84,14.99,18.90,0.00,0.00,0.00,1.00,39.62,56.95,3.36,2.01,0.00,68.98,65.00,0.00,1.55,0.00,0.00,0.00
41.00,0.00,20.92,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,21.85,52.27,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,13.37,41.37,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,70.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.54,14.81,18.90,0.00,0.00,0.00,1.00,37.76,54.02,3.28,1.88,0.00,67.07,52.00,0.00,1.52,0.00,0.00,0.00
42.00,0.00,21.11,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.97,49.29,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,13.40,40.71,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,57.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.36,14.75,18.90,0.00,0.00,0.00,1.00,35.37,50.03,3.11,1.69,0.00,64.82,41.00,0.00,1.53,0.00,0.00,0.00
43.00,0.00,20.80,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.53,45.67,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,13.21,39.53,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,48.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.22,14.77,18.90,0.00,0.00,0.00,1.00,33.29,47.29,2.92,1.59,0.00,62.67,32.00,0.00,1.46,0.00,0.00,0.00
44.00,0.00,20.77,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.24,41.84,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.83,37.85,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,40.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.09,14.81,18.90,0.00,0.00,0.00,1.00,31.31,44.96,2.72,1.51,0.00,60.56,26.00,0.00,1.40,0.00,0.00,0.00
45.00,0.00,20.79,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,20.63,38.83,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.52,36.15,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,34.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.21,14.79,18.90,0.00,0.00,0.00,1.00,31.36,45.23,2.73,1.84,0.00,59.81,22.00,0.00,1.42,0.00,0.00,0.00
46.00,0.00,21.05,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,21.26,36.09,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.31,34.44,2.20,27.30,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,29.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.41,14.75,18.90,0.00,0.00,0.00,1.00,32.09,46.37,2.82,2.30,0.00,59.52,20.00,0.00,1.44,0.00,0.00,0.00
47.00,0.00,21.19,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,21.89,33.24,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,12.04,32.54,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,26.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.50,14.82,18.90,0.00,0.00,0.00,1.00,32.85,48.06,2.64,2.28,0.00,59.20,18.00,0.00,1.35,0.00,0.00,0.00
48.00,0.00,21.96,0.00,14.00,4.20,8.10,4.30,8.90,2.90,0.40,3.30,0.00,0.00,0.00,9.00,0.00,10.00,22.53,30.37,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.00,11.74,30.43,2.20,27.20,14.56,19.11,0.00,17.96,0.00,0.60,5.00,5.50,5.50,1.20,23.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,11.55,14.93,18.90,0.00,0.00,0.00,1.00,33.62,49.92,2.38,2.08,0.00,58.88,16.00,0.00,1.37,0.00,0.00,0.00
