"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
21.00,17.11,23.69,14.61,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,18.70,8.36,17.49,0.00,8.20,2.14,11.53,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,12.88,1.88,7.60,3.20,23.80,19.44,18.46,110.60,17.88,22.90,0.60,19.44,19.44,19.44,2.40,10.66,12.83,19.44,8.00,10.80,8.23,17.49,2.40,11.93,12.74,18.90,0.76,0.00,10.81,16.88,0.65,1.78,71.31,13.00,8.57,0.30,2.00,66.18,241.29,11.00,166.64,22.00,0.31,22.27,0.00
22.00,17.98,23.68,15.01,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,19.00,8.78,17.49,0.00,8.20,3.31,15.28,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,12.34,1.97,9.40,3.20,23.60,19.44,18.46,112.00,17.88,26.11,0.60,19.44,19.44,19.44,2.40,30.75,12.83,19.44,8.00,10.80,8.23,17.49,2.40,12.08,13.00,19.00,0.78,1.20,13.72,20.26,0.95,2.39,71.77,12.80,14.95,0.30,2.00,63.14,233.91,11.00,172.06,22.00,0.33,27.68,0.00
23.00,18.20,23.77,14.89,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,19.05,14.34,17.49,0.00,8.20,3.00,19.34,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,11.47,2.27,11.00,3.20,23.40,19.44,18.46,96.29,17.88,24.08,0.60,19.44,19.44,19.44,2.40,40.37,12.83,19.44,8.00,10.80,8.23,17.49,2.40,12.54,13.11,19.00,0.77,1.20,16.45,23.00,0.95,2.83,76.29,14.40,24.15,0.40,2.00,68.56,213.07,11.00,163.39,22.00,0.34,20.87,0.00
24.00,17.88,23.82,14.52,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,18.68,14.63,17.49,0.00,8.20,3.86,26.84,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,11.56,2.64,12.40,3.20,23.50,19.44,18.46,80.64,17.88,21.45,0.60,19.44,19.44,19.44,2.40,49.48,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.09,13.16,19.00,0.78,1.20,18.96,25.49,0.84,3.20,67.86,16.50,34.30,0.40,2.00,67.00,193.81,11.00,155.93,22.00,0.34,17.02,0.00
25.00,17.34,23.72,13.34,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,17.31,14.68,17.49,0.00,8.20,4.65,27.14,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,11.72,2.43,13.40,3.20,23.70,19.44,18.46,70.10,17.88,18.23,0.60,19.44,19.44,19.44,2.40,60.08,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.50,13.66,19.00,0.77,1.20,21.14,27.67,1.13,3.43,59.99,19.70,50.27,0.40,2.00,65.01,182.37,11.00,145.33,22.00,0.34,6.77,51.64
26.00,16.89,23.70,10.66,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,16.35,14.47,17.49,0.00,8.20,5.41,25.05,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,11.24,2.03,14.60,3.20,23.80,19.44,18.46,55.74,17.88,14.55,0.60,19.44,19.44,19.44,2.40,71.18,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.85,14.32,19.00,0.77,1.20,23.38,29.95,1.56,3.63,51.64,22.30,68.17,0.40,2.00,57.70,181.69,11.00,147.15,22.00,0.32,16.24,103.61
27.00,15.92,23.89,8.08,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,16.38,14.08,17.49,0.00,8.20,5.40,26.29,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,9.97,2.36,16.70,3.20,23.70,19.44,18.46,47.92,17.88,11.02,0.60,19.44,19.44,19.44,2.40,81.68,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.84,14.43,19.00,0.77,1.20,26.08,33.02,1.90,3.88,41.87,23.20,82.64,0.30,2.00,45.28,152.75,11.00,124.71,22.00,0.30,11.62,103.80
28.00,13.83,23.90,6.40,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,16.36,13.31,17.49,0.00,8.20,5.12,28.64,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,8.64,2.93,18.40,3.20,23.70,19.44,18.46,36.28,17.88,7.95,0.60,19.44,19.44,19.44,2.40,91.99,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.70,14.37,19.00,0.65,1.20,28.59,35.78,2.22,4.16,28.84,23.80,95.96,0.20,2.00,38.03,95.05,11.00,83.78,22.00,0.27,7.31,104.03
29.00,10.76,23.68,5.22,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,15.14,12.17,17.49,0.00,8.20,4.84,28.95,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,7.57,3.36,19.10,3.20,23.80,19.44,18.46,27.52,17.88,5.50,0.60,19.44,19.44,19.44,2.40,101.45,12.83,19.44,8.00,10.80,8.23,17.49,2.40,13.33,13.65,19.00,0.63,1.20,29.42,35.67,2.31,4.07,20.65,23.90,103.84,0.20,2.00,34.06,62.26,11.00,51.30,22.00,0.25,7.85,104.16
30.00,7.33,23.56,4.35,14.00,4.20,0.00,6.60,19.14,3.55,0.40,3.40,18.00,13.22,9.70,17.49,0.00,8.20,4.56,28.57,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,5.08,3.74,19.80,3.20,23.80,19.44,18.46,21.53,17.88,3.86,0.60,19.44,19.44,19.44,2.40,110.63,12.83,19.44,8.00,10.80,8.23,17.49,2.40,12.88,12.71,19.00,0.59,1.20,32.00,35.02,2.32,3.86,16.11,25.00,109.89,0.10,2.00,30.34,39.91,11.00,31.06,22.00,0.21,7.84,99.28
