"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
21.00,15.11,7.87,16.96,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.94,17.04,4.00,0.00,7.00,16.44,32.47,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.03,3.85,11.01,0.00,27.10,6.00,10.68,130.06,16.50,32.84,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.39,14.72,18.90,0.00,0.00,1.21,0.00,22.57,35.17,1.76,1.37,97.83,24.63,4.00,0.30,1.04,71.59,240.31,0.00,6.50
22.00,15.43,7.64,17.66,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.95,16.97,4.00,0.00,7.00,17.26,39.62,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.05,4.08,12.44,0.00,26.80,6.00,10.68,130.62,16.50,32.85,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.51,14.80,18.90,0.00,0.00,1.24,0.00,23.66,35.90,2.18,1.53,97.50,25.63,4.00,0.30,1.04,72.31,240.19,0.00,6.50
23.00,15.50,7.18,17.99,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.82,16.89,4.00,0.00,7.00,18.27,46.34,2.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.10,4.36,14.25,0.00,26.70,6.00,10.68,131.88,16.50,32.93,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.64,15.02,18.90,0.00,0.00,1.22,0.00,26.13,39.07,2.49,1.78,96.91,25.57,4.00,0.40,1.00,73.26,242.30,0.00,6.50
24.00,15.56,7.05,18.06,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.66,16.87,4.00,0.00,7.00,19.06,50.41,3.40,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.15,4.53,15.82,0.00,26.50,6.00,10.68,132.99,16.50,32.85,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,12.77,15.28,18.90,0.00,0.00,1.25,0.00,29.07,43.05,2.77,2.05,96.83,25.51,6.00,0.40,1.00,73.58,246.02,0.00,6.50
25.00,15.37,7.02,17.80,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.62,16.91,4.00,0.00,7.00,19.79,53.60,3.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.21,4.60,17.14,0.00,26.30,6.00,10.68,133.81,16.50,32.85,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.03,15.34,18.90,0.00,0.00,1.23,0.00,29.97,41.96,2.76,2.10,96.97,24.88,8.00,0.40,1.00,73.72,243.63,0.00,6.50
26.00,14.89,7.27,17.13,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.65,16.92,4.00,0.00,7.00,20.29,56.84,3.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.21,4.65,18.00,0.00,26.10,6.00,10.68,134.51,16.50,32.93,0.60,3.00,3.30,3.40,2.40,1.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.32,15.34,18.90,0.00,0.00,1.23,0.00,30.18,39.17,2.65,2.06,96.98,24.25,12.00,0.40,0.96,73.78,235.77,0.00,6.50
27.00,14.22,7.06,15.98,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.74,16.92,4.00,0.00,7.00,20.72,60.10,3.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.13,4.69,18.40,0.00,25.90,6.00,10.68,134.98,16.50,33.10,0.60,3.00,3.30,3.40,2.40,4.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.35,15.21,18.90,0.00,0.00,1.23,0.00,29.63,38.61,2.62,2.07,96.86,23.70,17.00,0.30,1.00,73.69,239.83,0.00,6.50
28.00,13.50,6.82,14.48,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.57,16.99,4.00,0.00,7.00,21.66,59.97,3.40,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.10,4.73,18.68,0.00,25.80,6.00,10.68,134.90,16.50,33.12,0.60,3.00,3.30,3.40,2.40,10.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.30,15.04,18.90,0.00,0.00,1.04,0.00,28.82,38.79,2.62,2.09,96.60,23.14,22.00,0.20,0.92,72.98,250.00,0.00,6.50
29.00,12.83,6.66,12.70,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,15.95,16.99,4.00,0.00,7.00,22.77,58.71,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.03,4.76,18.87,0.00,25.70,6.00,10.68,133.94,16.50,32.89,0.60,3.00,3.30,3.40,2.40,16.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,12.92,14.53,18.90,0.00,0.00,1.01,0.00,26.75,38.71,2.59,2.07,95.81,22.77,29.00,0.20,0.96,71.42,250.00,0.00,6.50
30.00,12.08,6.19,10.37,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,14.59,16.78,4.00,0.00,7.00,23.26,61.33,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.76,4.80,19.06,0.00,25.60,6.00,10.68,131.02,16.50,32.07,0.60,3.00,3.30,3.40,2.40,24.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,12.45,13.90,18.90,0.00,0.00,0.94,0.00,24.26,38.54,2.55,2.04,93.72,22.40,37.00,0.10,0.96,68.73,242.47,0.00,6.50
31.00,11.38,5.81,7.48,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,11.85,16.12,4.00,0.00,7.00,23.56,65.25,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.03,4.85,19.26,0.00,25.60,6.00,10.68,121.91,16.50,29.26,0.60,3.00,3.30,3.40,2.40,32.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,11.76,12.87,18.90,0.00,0.00,0.79,0.00,23.47,39.00,2.48,1.95,88.27,23.34,45.00,0.10,0.96,61.24,228.52,0.00,6.50
