"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
11.00,0.00,21.29,0.00,15.94,4.50,7.80,3.30,6.10,1.60,0.00,2.70,15.46,0.00,0.00,3.10,2.60,7.20,23.00,42.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,11.00,17.94,2.30,28.10,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,2.30,44.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.56,10.04,9.50,0.00,0.54,28.90,38.33,3.89,1.83,0.00,22.57,62.00,0.20,1.17,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.12
12.00,0.04,21.09,0.06,15.65,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,0.03,0.00,3.10,2.60,7.20,23.00,42.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.00,11.00,17.63,2.30,28.40,3.30,11.59,0.00,15.46,0.20,0.60,4.50,5.00,5.20,2.30,46.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.02,9.51,9.50,0.00,0.53,28.23,38.02,4.03,1.90,0.00,23.24,66.00,0.30,1.16,0.00,0.00,5.00,0.53,12.14,0.00,0.00,0.00,0.79
13.00,1.12,21.23,0.90,16.52,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,0.81,0.00,3.10,2.60,7.20,25.00,20.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.03,11.43,18.81,2.30,28.40,3.30,11.59,6.00,15.46,2.02,0.60,4.50,5.00,5.20,1.15,46.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.41,9.84,9.50,0.04,0.53,26.82,37.55,3.78,1.82,4.32,24.71,66.00,0.30,1.15,1.93,0.65,5.00,8.62,12.14,0.00,0.00,1.65,0.90
14.00,2.79,21.07,2.75,16.23,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,1.96,0.03,3.10,2.60,7.20,25.00,20.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.38,11.77,20.23,2.30,28.30,3.30,11.59,24.00,15.46,8.55,0.60,4.50,5.00,5.20,1.15,44.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,8.28,9.94,9.50,0.07,0.54,24.91,37.99,3.67,1.89,17.28,25.86,64.00,0.30,1.14,7.86,11.05,5.00,67.51,12.14,0.03,4.63,39.96,1.57
15.00,4.07,21.07,4.66,16.04,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,4.22,0.51,3.10,2.60,7.20,25.00,25.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.04,12.31,22.22,2.30,28.40,3.30,11.59,49.00,15.46,18.24,0.60,4.50,5.00,5.20,1.15,43.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,10.19,11.23,9.50,0.08,0.54,26.15,40.93,4.11,2.14,35.28,27.71,64.00,0.40,1.14,19.08,39.05,5.00,126.85,12.14,0.08,17.33,69.66,5.30
16.00,7.53,20.96,7.60,16.23,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,5.56,1.77,3.10,2.60,7.20,25.00,25.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.18,12.81,24.02,2.30,28.30,3.30,11.59,79.00,15.46,26.07,0.60,4.50,5.00,5.20,1.15,43.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,11.02,11.81,9.50,0.12,0.53,27.73,43.88,4.45,2.27,56.88,29.73,67.00,0.40,1.13,32.01,69.70,5.00,159.02,12.14,0.14,32.12,81.91,11.60
17.00,8.74,21.00,9.21,15.94,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,7.47,2.89,0.00,2.60,7.20,27.00,32.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.54,13.22,26.55,2.30,28.20,3.30,11.59,101.00,15.46,29.99,0.60,4.50,5.00,5.20,1.15,46.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,12.49,12.71,9.50,0.58,0.53,31.69,49.59,5.02,2.69,72.72,32.63,72.00,0.40,1.12,43.93,88.00,5.00,161.74,12.14,0.20,45.88,78.10,11.73
18.00,11.60,21.00,11.42,16.62,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,8.28,4.01,0.00,2.60,7.20,27.00,32.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,2.50,13.70,28.50,2.30,28.00,3.30,11.59,112.00,15.46,30.81,0.60,4.50,5.00,5.20,1.15,50.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,13.44,13.19,9.50,0.79,0.54,33.58,54.50,5.34,2.94,80.64,35.69,77.00,0.40,1.11,52.93,111.56,5.00,161.25,12.14,0.26,50.04,76.77,11.96
19.00,12.32,20.90,12.34,16.23,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,9.52,5.27,0.00,2.60,7.20,28.00,53.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,3.42,14.33,30.51,2.30,27.90,3.30,11.59,118.00,15.46,30.81,0.60,4.50,5.00,5.20,1.15,55.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,14.35,13.65,9.50,0.98,0.54,37.62,59.30,6.10,3.36,84.96,38.41,82.00,0.30,1.11,60.20,155.33,5.00,161.99,12.14,0.32,50.73,78.15,12.49
20.00,14.38,20.52,14.07,15.75,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,10.21,5.87,0.00,2.60,7.20,28.00,53.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,4.16,14.55,31.87,2.30,27.80,3.30,11.59,119.00,15.46,30.64,0.60,4.50,5.00,5.20,1.15,60.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,14.82,13.65,9.50,1.10,0.54,40.22,61.15,6.48,3.61,85.68,41.40,86.00,0.20,1.10,65.98,210.44,5.00,163.53,12.14,0.35,50.74,79.26,12.61
21.00,14.94,20.40,14.90,15.85,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.78,7.34,0.00,2.60,7.20,28.00,80.00,1.65,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,5.55,14.61,33.50,2.30,27.60,3.30,11.59,119.00,15.46,30.60,0.60,4.50,5.00,5.20,1.15,63.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.23,13.94,9.50,1.20,0.53,42.77,60.89,6.85,3.85,85.68,42.43,89.00,0.20,1.10,70.79,238.69,5.00,168.07,12.14,0.38,50.38,82.80,12.57
22.00,16.15,20.56,15.91,14.69,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.45,9.54,0.00,2.60,7.20,28.00,80.00,3.55,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,6.79,14.70,35.03,2.30,27.30,3.30,11.59,119.00,15.46,30.66,0.60,4.50,5.00,5.20,1.15,64.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.29,14.15,9.50,1.22,0.53,42.51,60.71,7.07,3.96,85.68,42.79,89.00,0.10,1.09,74.55,241.54,5.00,171.85,12.14,0.38,50.49,85.80,12.56
23.00,16.36,20.02,16.28,15.36,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.36,10.77,0.00,2.60,7.20,29.00,80.00,3.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,7.52,14.65,36.69,2.30,27.10,3.30,11.59,118.00,15.46,30.62,0.60,4.50,5.00,5.20,1.15,65.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.36,14.11,9.50,1.21,0.54,45.37,62.61,7.29,4.01,84.96,44.47,90.00,0.10,1.08,77.12,242.11,5.00,173.00,12.14,0.39,50.52,86.15,12.57
24.00,16.58,19.84,16.49,15.85,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.92,11.32,0.00,2.60,7.20,29.00,80.00,3.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,7.56,14.92,38.92,2.30,26.90,3.30,11.59,116.00,15.46,30.57,0.60,4.50,5.00,5.20,1.15,66.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.12,14.01,9.50,1.23,0.54,46.40,63.44,7.29,4.26,83.52,46.31,91.00,0.10,1.07,78.10,238.42,5.00,173.32,12.14,0.40,50.54,85.78,12.68
25.00,16.42,19.89,16.30,16.14,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,12.38,11.53,3.10,5.20,7.20,31.00,80.00,3.61,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,6.72,15.28,42.32,2.30,26.80,3.30,11.59,115.00,15.46,30.58,0.60,4.50,5.00,5.20,1.15,69.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.32,13.80,9.50,1.22,0.54,45.86,64.37,7.55,4.41,82.80,47.62,94.00,0.10,1.07,77.70,230.14,5.00,173.38,12.14,0.41,50.68,85.45,12.78
26.00,15.74,19.91,15.73,16.14,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,11.73,10.52,3.10,5.10,7.20,31.00,80.00,0.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,5.54,15.25,43.71,2.30,26.60,3.30,11.59,113.00,15.46,29.40,0.60,4.50,5.00,5.20,1.15,73.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.62,13.94,9.50,1.22,0.53,47.83,64.93,8.03,4.80,81.36,47.59,97.00,0.10,1.06,75.95,223.49,5.00,173.41,12.14,0.41,50.97,85.43,12.85
27.00,15.30,19.57,15.10,15.56,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,9.94,8.04,3.10,5.10,7.20,31.00,80.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,3.98,15.99,46.43,2.30,26.70,3.30,11.59,112.00,15.46,29.47,0.60,4.50,5.00,5.20,1.15,78.00,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.86,14.06,9.50,1.22,0.53,47.97,63.95,7.70,4.83,80.64,49.18,103.00,0.00,1.06,72.89,202.86,5.00,173.40,12.14,0.42,51.28,85.90,12.90
28.00,13.65,19.60,13.67,15.85,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,8.71,5.19,3.10,5.10,7.20,31.00,80.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,2.74,16.50,49.67,2.30,26.60,3.30,11.59,110.00,15.46,29.69,0.60,4.50,5.00,5.20,1.15,84.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,15.61,13.88,9.50,1.03,0.54,50.38,65.90,8.12,5.08,79.20,52.59,110.00,0.00,1.06,68.42,178.60,5.00,173.09,12.14,0.42,51.57,86.45,13.00
29.00,12.84,19.69,12.46,16.04,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,7.04,3.56,3.10,5.10,7.20,31.00,80.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.66,16.98,50.00,2.30,26.40,3.30,11.59,108.00,15.46,29.74,0.60,4.50,5.00,5.20,1.15,91.00,4.50,4.00,1.50,10.43,8.38,3.80,1.15,15.50,14.09,9.50,1.00,0.54,51.28,65.14,8.32,5.40,77.76,54.37,116.00,0.00,1.06,62.39,155.71,5.00,172.40,12.14,0.42,51.67,86.24,13.39
