"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
37.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.738,0.214,0.000,0.333,6.534,0.000,16.360,0.017,55.480,0.000,7.897,11.193,0.000,4.169,0.310,0.000,2.236,2.701,0.000,0.010,0.000,0.000,0.218,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.804,0.214,0.000,0.333,6.062,0.000,15.888,0.017,55.480,0.000,7.963,11.193,0.000,48.877,0.310,0.000,2.752,2.701,0.000,0.010,0.000,0.000,0.218,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.880,0.214,0.000,0.333,5.554,0.000,15.380,0.017,55.480,0.000,8.039,11.193,0.000,24.500,0.310,0.000,3.242,2.701,0.000,0.010,0.000,0.000,0.218,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.969,0.214,0.000,0.333,5.055,0.000,14.881,0.017,55.480,0.000,8.129,11.193,0.000,17.442,0.310,0.000,3.739,2.701,0.000,0.010,0.000,0.000,0.218,0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,4.076,0.214,0.000,0.333,4.515,0.000,14.340,0.017,55.480,0.000,8.235,11.193,0.000,13.601,0.310,0.000,4.291,2.701,0.000,0.010,0.000,0.000,0.218,0.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,4.204,0.214,0.000,0.333,3.864,0.000,13.690,0.017,55.480,0.000,8.363,11.193,0.000,10.971,0.310,0.000,5.016,2.701,0.000,0.010,0.000,0.000,0.218,0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,4.362,0.214,0.000,0.333,3.447,0.000,13.272,0.017,55.480,0.000,8.522,11.193,0.000,8.925,0.310,0.000,6.237,2.701,0.000,0.010,2.442,0.000,0.218,0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,4.565,0.214,0.000,0.333,20.485,0.000,30.311,0.017,55.480,0.000,8.724,11.193,0.000,7.186,0.310,0.000,9.292,2.701,0.000,0.010,2.442,0.000,0.218,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,4.836,0.214,0.000,0.333,11.441,0.000,21.267,0.017,55.480,0.000,8.996,11.193,0.000,5.576,0.310,0.000,9.797,2.701,0.000,0.010,0.000,0.000,0.218,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,5.230,0.214,0.000,0.333,5.433,0.000,15.259,0.017,55.480,0.000,9.389,11.193,0.000,4.060,0.310,0.000,9.909,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,5.885,0.214,0.000,0.333,1.233,0.000,11.059,0.017,55.480,0.000,10.045,11.193,0.000,139.908,0.310,0.000,11.926,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,7.411,0.214,0.000,0.333,66.389,0.000,76.214,0.017,55.480,0.000,11.570,11.193,0.000,180.345,0.310,0.000,58.100,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
